,FIELDID,NewLat,NewLong
1,bell1,42.42924,-83.39666
2,bell4,42.40327,-83.36237
3,bish2,42.47131,-83.45151
144,bishopcr10,42.46756,-83.44051
145,bishopcr9,42.45966,-83.4533
146,dnr9,42.51915,-83.28345
147,dnr9,42.51915,-83.28345
134,dnrfel,42.323364,-83.48854
148,evan1,42.504517,-83.233603
135,evan2,42.474374,-83.246909
4,evan3,42.459278,-83.268639
5,evan4,42.443871,-83.269766
6,evan5,42.46792,-83.26124
7,evan5,42.46792,-83.26124
8,evan5,42.46792,-83.26124
136,evan6,42.469335,-83.244996
9,fel1,42.35729,-83.53988
10,fel3,42.349854,-83.540557
11,fel4,42.31346,-83.46471
12,fel4,42.31346,-83.46471
13,fel5,42.335263,-83.539831
14,fel6,42.328188,-83.532192
15,fowl1,42.30423,-83.60516
16,fowl2,42.28226,-83.50515
17,fowl2,42.28226,-83.50515
18,fowl3,42.297437,-83.584549
19,fowl4,42.2755623,-83.553772
20,fowl4,42.2755623,-83.553772
21,fowl5,42.2802935,-83.5254264
22,fowl5,42.2802935,-83.5254264
23,fowl5,42.2802935,-83.5254264
24,fowl6,42.303202,-83.608035
25,frank1,42.53024,-83.30585
26,frank1,42.53024,-83.30585
27,frank1,42.53024,-83.30585
28,frank2,42.529325,-83.325381
29,frank2,42.529325,-83.325381
149,franklin11,42.4997289,"	
-83.279471"
30,ing1,42.46293,-83.44552
31,john1,42.3897,-83.58194
137,john10,42.39842131,
32,john2,42.39424,-83.534404
33,john3,42.40844,-83.51693
34,john3,42.40844,-83.51693
35,john6,42.42546,-83.48138
36,john6,42.42546,-83.48138
151,john7,42.399455,-83.526902
152,johnson14,42.39424,-83.534404
153,l-7,42.25761,-83.50342
37,low10,42.286955,-83.484475
38,low11,42.2972147,-83.5254371
39,low11,42.2972147,-83.5254371
40,low13,42.2876032,-83.3592921
138,low14,42.30177,-83.28
41,low2,42.30724,-83.53793
42,low3,42.323651,-83.565967
43,low4,42.286433,-83.47563
44,low5,42.282389,-83.437141
45,low6,42.282611,-83.407008
46,low6,42.282611,-83.407008
47,low7,42.283278,-83.397352
48,low8,42.285374,-83.388726
49,low9,42.283461,-83.505311
154,lower1,42.3125679,-83.2415233
155,lower10,42.3215,-83.50869
156,lower3,42.30177,-83.28
157,lower4,42.298506,-83.305839
50,lr-1,42.280425,-83.42027
