OBJECTID,comid,VSEC,StreamName,Diss,Shape_Length,DelisitngLength
1,10848420,MR1,Main,,0.024712305,
2,10848422,Headwaters,,,0.011044321,
3,10848424,Headwaters,,,0.02712179,
4,10848426,Headwaters,,,0.011792581,
5,10848428,Headwaters,,,0.028979235,
6,10848438,Headwaters,,,0.002338769,
7,10848440,Headwaters,,,0.009460272,
8,10848442,Headwaters,,,0.00603114,
9,10848444,Headwaters,,,0.004316953,
10,10848446,Headwaters,Quarton,66,0.007165188,
11,10848448,Headwaters,,,0.055522069,
12,10848450,Headwaters,,,0.006182311,
13,10848452,Headwaters,,,0.033097623,
14,10848454,Headwaters,,,0.013977085,
15,10848456,Headwaters,,,0.018365791,
16,10848458,Headwaters,,,0.018005897,
17,10848460,Headwaters,Quarton,66,0.017038743,
18,10848462,Headwaters,,,0.021480417,
19,10848464,Headwaters,,,0.007810112,
20,10848466,Headwaters,,,0.00975992,
21,10848468,Headwaters,,,0.036213595,
22,10848472,Headwaters,Main,83,0.096035099,
23,10848474,Headwaters,,,0.0342191,
24,10848476,Headwaters,,,0.02693676,
25,10848478,Headwaters,,,0.067763628,
26,10848480,Headwaters,Franklin,83,0.012454203,
27,10848482,Headwaters,Franklin,83,0.019646802,
28,10848484,Headwaters,,,0.045764614,
29,10848486,Headwaters,Main,83,0.029694813,
30,10848488,Headwaters,,,0.034202356,
31,10848490,Headwaters,Pebble,66,0.065909414,
32,10848492,Headwaters,Seeley,80,0.021135686,
33,10848494,Headwaters,,,0.002225644,
34,10848496,Headwaters,,,0.002042145,
35,10848498,Headwaters,Pebble,66,0.013934642,
36,10848500,Headwaters,,,0.001273178,
37,10848502,Headwaters,,,0.055485777,
38,10848504,Headwaters,,,0.003039089,
39,10848506,Headwaters,,,0.059847348,
40,10848508,Headwaters,,,0.011862745,
41,10848510,Headwaters,,,0.009314696,
42,10848512,Headwaters,,,0.057813464,
43,10848514,Headwaters,,,0.025498567,
44,10848516,Headwaters,Seeley,80,0.020859714,
45,10848518,Headwaters,,,0.00705349,
46,10848520,Headwaters,Minnow,87,0.015587954,
47,10848522,Headwaters,Franklin,83,0.067388231,
48,10848524,Headwaters,,,0.026492792,
49,10848526,Headwaters,Pebble,66,0.038348855,
50,10848528,Headwaters,,,0.03227228,
51,10848530,Headwaters,Franklin,83,0.001540332,
52,10848532,MR5,Main,83,0.017553438,
53,10848534,Headwaters,Evans,61,0.024124316,
54,10848594,Headwaters,,,0.050764971,
55,10848596,Headwaters,,,0.01393412,
56,10848598,Headwaters,Quarton,66,0.036742154,
57,10848600,Headwaters,,,0.018402449,
58,10848602,Headwaters,Main,83,0.045962752,
59,10848604,Headwaters,,,0.020484649,
60,10848606,Headwaters,,,0.006075182,
61,10848608,Headwaters,Quarton,66,0.003950051,
62,10848610,Headwaters,,,0.003523857,
63,10848612,Headwaters,,,0.001761523,
64,10848614,Headwaters,,,0.001365848,
65,10848616,Headwaters,,,0.006605941,
66,10848618,Headwaters,,,0.017786897,
67,10848620,Headwaters,,,0.003398827,
68,10848622,Headwaters,,,0.003064025,
69,10848624,Headwaters,,,0.004583395,
70,10848626,Headwaters,,,0.024129541,
71,10848628,Headwaters,,,0.002126008,
72,10848630,Headwaters,,,0.000924173,
73,10848632,Headwaters,Seeley,80,0.001640454,
74,10848634,Headwaters,,,0.003318056,
75,10848636,Headwaters,,,0.002548395,
76,10849360,Headwaters,Bishop,53,0.012312543,
77,10849362,Headwaters,Franklin,83,0.006763017,
78,10849364,MR5,Main,83,0.010319914,
79,10849366,Headwaters,,,0.014015234,
80,10849368,Headwaters,,,0.018548995,
81,10849370,Headwaters,,,0.009838157,
82,10849372,Headwaters,,,0.020549638,
83,10849374,Headwaters,Seeley,80,0.023397759,
84,10849376,Headwaters,Seeley,80,0.020962603,
85,10849378,Headwaters,Minnow,87,0.046656414,
86,10849380,Headwaters,,,0.023345184,
87,10849382,Headwaters,,,0.042501931,
88,10849384,Headwaters,,,0.032416629,
89,10849386,Headwaters,,,0.028387106,
90,10849388,Headwaters,,,0.017226687,
91,10849390,Headwaters,,,0.001114412,
92,10849392,Headwaters,,,0.027193312,
93,10849394,Headwaters,,,0.02294746,
94,10849396,Headwaters,,,0.041316161,
95,10849398,Headwaters,,,0.032148013,
96,10849400,Headwaters,Pebble,66,0.042423657,
97,10849402,Headwaters,,,0.025522471,
98,10849404,Headwaters,,,0.039416576,
99,10849406,Headwaters,,,0.018878712,
100,10849408,Headwaters,,,0.023096268,
101,10849410,Headwaters,,,0.002425694,
102,10849412,Headwaters,Pebble,66,0.005438996,
103,10849414,Headwaters,,,0.019719242,
104,10849416,Headwaters,,,0.016758027,
105,10849418,Headwaters,,,0.026592217,
106,10849420,Headwaters,Evans,61,0.007896779,
107,10849422,Headwaters,,,0.011605474,
108,10849424,Headwaters,Middle,82,0.01840756,
109,10849426,Headwaters,Bishop,53,0.047441449,
110,10849428,Headwaters,,,0.021632163,
111,10849430,Headwaters,,,0.023039205,
112,10849432,Headwaters,,,0.034826706,
113,10849434,Headwaters,Middle,82,0.008471075,
114,10849436,Headwaters,Walled_lake,71,0.015349259,
115,10849438,MR5,Main,83,0.065912141,
116,10849440,Headwaters,Pebble,66,0.014203376,
117,10849442,Headwaters,,,0.028606812,
118,10849444,Headwaters,,,0.011268584,
119,10849446,Headwaters,,,0.012181611,
120,10849448,Headwaters,,,0.017569673,
121,10849450,Headwaters,,,0.048630445,
122,10849452,Headwaters,,,0.02759677,
123,10849454,Headwaters,,,0.005339475,
124,10849456,Headwaters,Evans,61,0.031101811,
125,10849458,Headwaters,,,0.023457208,
126,10849460,Headwaters,,,0.004311967,
127,10849462,MR5,Main,83,0.01140049,
128,10849464,Headwaters,Middle,82,0.013370148,
129,10849466,Headwaters,,,0.019074483,
130,10849468,Headwaters,,,0.021153705,
131,10849470,Headwaters,Tarabusi,89,0.051766112,
132,10849472,Headwaters,,,0.002082855,
133,10849474,Headwaters,,,0.002020964,
134,10849476,Headwaters,,,0.000217549,
135,10849478,Headwaters,,,0.023807508,
136,10849480,Headwaters,,,0.03252748,
137,10849482,Headwaters,Evans,61,0.024959152,
138,10849484,MR4,Main,83,0.052578461,Main_branch
139,10849486,Headwaters,,,0.018639195,
140,10849488,Headwaters,Middle,82,0.024879796,
141,10849490,Headwaters,,,0.003880957,
142,10849492,Headwaters,Middle,82,0.008548499,
143,10849494,Headwaters,Tarabusi,89,0.014026544,
144,10849502,Headwaters,,,0.018530356,
