,FIELDID,COMID
1,bell1,10849560
2,bell2,10849554
3,bell3,10849560
4,bell4,10849564
5,bish2,10849426
6,cl,10849488
7,dnrfel,10849706
8,evan1,10848534
9,evan2,10850126
10,evan3,10849456
11,evan4,10849482
12,evan5,10849456
13,fel1,10849646
14,fel2,10849714
15,fel3,10849674
16,fel4,10849736
17,fel5,10849704
18,fel6,10849704
19,fel7,10849676
20,flow2,10848448
21,fowl1,10849730
22,fowl2,10849786
23,fowl3,10849806
24,fowl4,10849812
25,fowl5,10849784
26,fowl6,10849730
27,frank1,10848522
28,frank2,10848482
29,frank3,10848616
30,frank4,10848616
31,frank5,10848458
32,frank6,10848468
33,frank7,10848468
34,frank8,10848616
35,gilbl,10848462
36,haml,10848442
37,ing1,10849424
38,john1,10849630
39,john2,10849614
40,john3,10849522
41,john5,10850134
42,john6,10850134
43,john7,10849568
44,john8,10849504
45,john9,10849630
46,johnrhs,10850134
47,johnswd,10849598
48,low10,10850168
49,low11,10849778
50,low12,10849774
51,low13,10849790
52,low2,10849724
53,low3,10849726
54,low4,10849774
55,low5,10849802
56,low6,10849810
57,low7,10849790
58,low8,10849790
59,low9,10849778
60,lr-1,10849810
61,lr-10,10849762
62,lr-11,10850162
63,lr-11a,10850162
64,lr-12,10849800
65,lr-2,10850168
66,lr-3,10849790
67,lr-4,10849790
68,lr-5,10849756
69,lr-6,10849790
70,lr-7,10850182
71,lr-8,10849778
72,lr-9,10850150
73,main1,10848426
74,main10,10849770
75,main11,10848598
76,main12,10849770
77,main12n,10849770
78,main13,10848472
79,main14,10850152
80,main15,10848472
81,main16,10848450
82,main17,10849364
83,main18,10848472
84,main19,10849462
85,main2,10848472
86,main20,10849728
87,main3,10848472
88,main4,10848486
89,main4.5,10848486
90,main5,10848602
91,main6,10849438
92,main7,10849438
93,main7.5,10849438
94,main8,10849768
95,main9,10849770
96,mid1,10850296
97,mid2,10849642
98,mid3,10849648
99,mid4,10850234
100,mid5,10850156
101,min1,10848506
102,min2,10849378
103,min3,10848520
104,min3a,10849378
105,min4,10848484
106,min5,10848506
107,mn-1,10849618
108,mn-2,10849618
109,mn-3,10850238
110,mn-4,10850152
111,mn-5,10849484
112,mn-6,10849618
113,mn-7,10850152
114,mn-7a,10850152
115,mr-1,10850296
116,mr-10,10850156
117,mr-11,10850156
118,mr-12,10850156
119,mr-13,10850156
120,mr-14,10850142
121,mr-15,10850156
122,mr-16,10849658
123,mr-17,10849642
124,mr-18,10849622
125,mr-19,10850142
126,mr-2,10849566
127,mr-20,10849566
128,mr-21,10849668
129,mr-22,10849504
130,mr-23,10849490
131,mr-24,10850142
132,mr-25,10849514
133,mr-26,10849504
134,mr-27,10849524
135,mr-28,10850142
136,mr-2a,10849566
137,mr-3,10849642
138,mr-4,10849648
139,mr-5,10850156
140,mr-6,10850156
141,mr-7,10850156
142,mr-8,10850156
143,mr-9,10850156
144,mur2,10848594
145,nfowl,10849780
146,nott,10848512
147,nott2,10848512
148,nton,10850142
149,peb1,10848526
150,peb2,10848526
151,peb3,10848526
152,peb4,10849412
153,peb5,10848490
154,rav,10849442
155,see1,10848516
156,see2,10849376
157,see3,10848516
158,see4,10848492
159,seebosch,10849374
160,seesto,10848492
161,simpl,10848614
162,sprag,10848422
163,tar2,10849472
164,ton1,10850142
165,ton1/2,10850142
166,ton2,10850142
167,ton3,10849700
168,ull,10848442
169,up1,10849602
170,up2,10849602
171,up3,10849602
172,up4,10849602
173,up5,10849602
174,up6,10849602
175,ur-1,10849602
176,ur-2,10849608
177,ur-3,10849508
178,ur-4,10849602
179,ur-5,10849548
180,wall0,10849488
181,wall1,10849464
182,wall2,10849416
183,wall3,10849382
184,wall4,10850132
185,wall5,10849382
186,wall6,10848500
187,wall7,10848510
188,walnutl,10848618
189,will1,10849712
190,will2,10850148
191,will3,10849712
192,wingl,10848476
193,john10,10849588
194,main21,10849770
195,low14,10850162
196,fi-1,10850390
197,dixavebrigde,10850388
198,mn-10dnr,10849770
199,lower1,10849762
200,lower3,10849790
201,lower4,10849794
202,l-1,10849774
203,dnr13,10849778
204,dnr3,10850156
205,dnr4,10850156
206,middle1,10849670
207,md-6,10849648
208,newburglake,10850234
209,wilcoxlake,10850224
210,phoenixlake,10850222
211,middle4,10849642
212,middle7,10850304
213,johnson14,10850134
214,md-14,10849630
215,md-2,10849464
216,bishopcr9,10849434
217,bishopcr10,10849424
218,md-13,10849426
219,md-1,10849382
220,u-4,10849608
221,u-7,10849532
222,dnr2,10849618
223,upper1,10849602
224,upper3,10849602
225,upper4,10849602
226,upper5,10849374
227,dnr1,10849462
228,mn-3dnr,10849438
229,upper6,10849378
230,dnr10,10848526
231,dnr9,10848522
232,franklin11,10850302
233,mn-2dnr,10848602
234,mn-7dnr,10848448
235,main7dnr,10848448
236,main9dnr,10848472
237,thorton12,10849466
238,tonquishcreek17,10849668
239,tonquishcreek19,10849684
240,tonquishcreek20,10850148
241,lower9,10849736
242,lower10,10849708
243,lower11,10849702
244,main2dnr,10849618
245,l-7,10850176
246,md-10,10849718
247,dnr16,10849756
