"","StreamName","Method","Richness","TolerantCount","IntolerantCount","DarterCount","SuckerCount","SunfishCount","PiscivoresCount","OmnivoresCount","InsectivoresCount","LithophilicCount"
"1","Bell Branch","Seine",10,7,0,1,1,3,0,5,5,3
"2","Bishop Creek","Seine",8,6,0,1,0,3,0,4,4,1
"3","Evans Creek","Seine",7,5,0,0,1,2,1,4,2,3
"4","Fellows Creek","Seine",15,8,1,1,1,5,1,6,6,3
"5","Fowler Creek","Seine",18,9,0,2,1,4,1,7,8,4
"6","Franklin Creek","Seine",5,3,1,0,1,0,0,3,2,3
"7","Johnson Creek","Seine",17,8,3,2,1,3,0,7,6,3
"8","Lower Rouge","Seine",25,8,2,2,2,5,2,6,13,6
"9","Main Rouge","Seine",21,7,3,2,1,6,2,5,10,4
"10","Middle Rouge","Seine",17,8,3,2,1,3,3,8,6,3
"11","Minnow Pond","Seine",13,6,3,2,1,2,0,5,7,4
"12","Pebble Creek","Seine",7,4,0,0,1,0,0,4,1,3
"13","Quarton Branch","Seine",9,4,1,0,1,4,2,4,3,2
"14","Seeley Creek","Seine",14,7,1,1,1,3,1,6,5,3
"15","Tarabusi Creek","Seine",10,6,0,1,1,3,1,5,4,3
"16","Tonquish Creek","Seine",14,7,2,2,1,4,1,5,7,3
"17","Upper Rouge","Seine",15,8,3,3,2,2,0,6,8,6
"18","Walled Lk Drainage","Seine",8,7,0,1,1,1,0,5,3,2
"19","Willow Creek","Seine",6,4,0,1,1,0,0,3,2,2
"20","Bell Branch","Shocking",8,6,0,1,1,1,0,5,3,3
"21","Bishop Creek","Shocking",7,5,0,1,1,2,1,4,2,2
"22","Evans Creek","Shocking",6,5,0,0,1,1,0,5,1,2
"23","Fellows Creek","Shocking",14,8,0,2,1,3,0,6,6,4
"24","Fowler Creek","Shocking",18,10,0,1,1,4,2,8,6,3
"25","Franklin Creek","Shocking",7,4,1,0,1,0,0,4,2,3
"26","Johnson Creek","Shocking",19,9,4,2,1,5,2,7,6,3
"27","Lower Rouge","Shocking",27,10,5,2,3,6,4,8,10,6
"28","Main Rouge","Shocking",22,9,2,2,1,5,3,7,9,4
"29","Middle Rouge","Shocking",21,10,2,1,1,6,4,9,7,3
"30","Minnow Pond","Shocking",10,5,1,1,1,2,0,4,5,3
"31","Pebble Creek","Shocking",5,4,0,0,1,1,0,3,2,3
"32","Quarton Branch","Shocking",9,3,1,0,1,5,3,3,2,1
"33","Seeley Creek","Shocking",11,7,1,1,1,2,0,5,5,3
"34","Tarabusi Creek","Shocking",8,5,0,1,1,2,0,4,4,3
"35","Tonquish Creek","Shocking",10,5,2,1,1,3,1,4,5,3
"36","Upper Rouge","Shocking",17,8,4,2,2,3,0,6,8,5
"37","Walled Lk Drainage","Shocking",6,5,0,1,1,2,0,3,3,2
"38","Willow Creek","Shocking",8,5,0,1,1,2,1,3,3,2
