"","COMID","FIELDID","combined_final_width"
"1","10849560","bell1",10
"2","10849554","bell2",10
"3","10849560","bell3",10
"4","10849564","bell4",14.7666666666667
"5","10849426","bish2",11.7333333333333
"6","10849488","cl",NA
"7","10849706","dnrfel",9
"8","10848534","evan1",22
"9","10850126","evan2",13.8
"10","10849456","evan3",24.2
"11","10849482","evan4",25
"12","10849456","evan5",24.2
"13","10849646","fel1",9
"14","10849714","fel2",10
"15","10849674","fel3",10
"16","10849736","fel4",9.3
"17","10849704","fel5",9
"18","10849676","fel7",10
"19","10848448","flow2",11
"20","10849730","fowl1",7
"21","10849786","fowl2",14.1333333333333
"22","10849806","fowl3",5
"23","10849812","fowl4",11.3333333333333
"24","10849784","fowl5",12.0833333333333
"25","10849730","fowl6",7
"26","10848522","frank1",14.15
"27","10848482","frank2",15
"28","10848616","frank3",NA
"29","10848616","frank4",NA
"30","10848458","frank5",NA
"31","10848468","frank6",NA
"32","10848468","frank7",NA
"33","10848616","frank8",NA
"34","10848462","gilbl",NA
"35","10848442","haml",NA
"36","10849424","ing1",5.5
"37","10849630","john1",11.2
"38","10849614","john2",15
"39","10849522","john3",14
"40","10850134","john5",16.0444444444444
"41","10850134","john6",17.0666666666666
"42","10849568","john7",14
"43","10849504","john8",7
"44","10849630","john9",10.6
"45","10850134","johnrhs",16.0444444444444
"46","10849598","johnswd",10
"47","10850168","low10",29.0666666666667
"48","10849778","low11",9
"49","10849774","low12",18
"50","10849790","low13",44.1
"51","10849724","low2",4.23333333333333
"52","10849726","low3",4
"53","10849774","low4",18
"54","10849802","low5",33
"55","10849810","low6",26
"56","10849790","low7",44.1
"57","10849790","low8",44.1
"58","10849778","low9",16
"59","10849810","lr-1",26
"60","10849762","lr-10",45.5
"61","10850162","lr-11",25
"62","10850162","lr-11a",30.4666666666667
"63","10849800","lr-12",29.1666666666667
"64","10850168","lr-2",29.0666666666667
"65","10849790","lr-3",44.1
"66","10849790","lr-4",44.1
"67","10849756","lr-5",18.5666666666667
"68","10849790","lr-6",44.1
"69","10850182","lr-7",10
"70","10849778","lr-8",15
"71","10850150","lr-9",10
"72","10848426","main1",10
"73","10849770","main10",100.666666666667
"74","10848598","main11",21.3333333333333
"75","10849770","main12",76.6666666666667
"76","10849770","main12n",87.6666666666667
"77","10848472","main13",23.7333333333333
"78","10850152","main14",35.8933333333333
"79","10848472","main15",19.3095238095238
"80","10848450","main16",10
"81","10849364","main17",20
"82","10848472","main18",15.5666666666667
"83","10849462","main19",28.5
"84","10848472","main2",19.3095238095238
"85","10849728","main20",68.7666666666667
"86","10848472","main3",20.5
"87","10848486","main4",21
"88","10848486","main4.5",22
"89","10848602","main5",20.7333333333333
"90","10849438","main6",33.1
"91","10849438","main7",33.1
"92","10849438","main7.5",33.1
"93","10849768","main8",120
"94","10849770","main9",92.6666666666668
"95","10850296","mid1",20
"96","10849642","mid2",20
"97","10849648","mid3",20
"98","10850234","mid4",NA
"99","10850156","mid5",37.7
"100","10848506","min1",11.5
"101","10849378","min2",15.75
"102","10848520","min3",12
"103","10849378","min3a",15.8258969333333
"104","10848484","min4",10
"105","10848506","min5",8
"106","10849618","mn-1",13
"107","10849618","mn-2",34.6333333333334
"108","10850238","mn-3",33
"109","10850152","mn-4",15
"110","10849618","mn-6",27.4222222222222
"111","10850152","mn-7",15
"112","10850152","mn-7a",67.2333333333333
"113","10850296","mr-1",24
"114","10850156","mr-10",37.7
"115","10850156","mr-11",32.2333333333333
"116","10850156","mr-12",37.7
"117","10850156","mr-13",37.7
"118","10850142","mr-14",4.93333333333333
"119","10850156","mr-15",48.4
"120","10849658","mr-16",15
"121","10849642","mr-17",20
"122","10849622","mr-18",30.1166666666666
"123","10850142","mr-19",4.93333333333333
"124","10849566","mr-2",16
"125","10849566","mr-20",25
"126","10849668","mr-21",22.4350398
"127","10849504","mr-22",10
"128","10849490","mr-23",10
"129","10850142","mr-24",4.93333333333333
"130","10849514","mr-25",10
"131","10849504","mr-26",10
"132","10849524","mr-27",10
"133","10850142","mr-28",4.93333333333333
"134","10849566","mr-2a",16
"135","10849642","mr-3",20
"136","10849648","mr-4",28
"137","10850156","mr-5",37.7
"138","10850156","mr-6",37.7
"139","10850156","mr-7",37.7
"140","10850156","mr-8",33
"141","10850156","mr-9",41.8666666666667
"142","10848594","mur2",12
"143","10849780","nfowl",6
"144","10848512","nott",10
"145","10848512","nott2",10
"146","10850142","nton",4.93333333333333
"147","10848526","peb1",15.3666666666667
"148","10848526","peb2",16.1
"149","10848526","peb3",15
"150","10849412","peb4",18.5695544
"151","10848490","peb5",9
"152","10849442","rav",NA
"153","10848516","see1",9.23333333333333
"154","10849376","see2",9
"155","10848516","see3",9.23333333333333
"156","10848492","see4",9
"157","10849374","seebosch",9.823491
"158","10848492","seesto",NA
"159","10848614","simpl",NA
"160","10848422","sprag",10
"161","10849472","tar2",12.2
"162","10850142","ton1",4.93333333333333
"163","10850142","ton1/2",4.93333333333333
"164","10850142","ton2",4.93333333333333
"165","10849700","ton3",14.9860019555556
"166","10848442","ull",NA
"167","10849602","up1",17.8
"168","10849602","up2",18
"169","10849602","up3",21.6305071589744
"170","10849602","up4",21.6305071589744
"171","10849602","up5",21.6305071589744
"172","10849602","up6",26.7716544
"173","10849602","ur-1",15.7666666666667
"174","10849608","ur-2",22.5
"175","10849508","ur-3",18
"176","10849602","ur-4",17
"177","10849548","ur-5",18
"178","10849488","wall0",15
"179","10849464","wall1",26.5419956
"180","10849416","wall2",7.63333333333335
"181","10849382","wall3",9
