"","FIELDID","Orginal_FIELDID","COMID","StreamName","Branch","Year","DateSampled","MDEQ","Common_Name","FinalID","Quanity","Method","Length","Other"
"1","bishopcr10","bishopcr10","10849424","BishopCr10","Middle",1972,"7/29/72","DNR","nfc",NA,"0","Electroshocking","0","0"
"2","bishopcr9","bishopcr9","10849434","BishopCr9","Middle",1972,"7/29/72","DNR","bluegill",NA,"4","Electroshocking","0","0"
"3","bishopcr9","bishopcr9","10849434","BishopCr9","Middle",1972,"7/29/72","DNR","central mudminnow",NA,"1","Electroshocking","0","0"
"4","bishopcr9","bishopcr9","10849434","BishopCr9","Middle",1972,"7/29/72","DNR","creek chub",NA,"1","Electroshocking","0","0"
"5","bishopcr9","bishopcr9","10849434","BishopCr9","Middle",1972,"7/29/72","DNR","fathead minnow",NA,"85","Electroshocking","0","0"
"6","bishopcr9","bishopcr9","10849434","BishopCr9","Middle",1972,"7/29/72","DNR","green sunfish",NA,"5","Electroshocking","0","0"
"7","bishopcr9","bishopcr9","10849434","BishopCr9","Middle",1972,"7/29/72","DNR","pumpkinseed",NA,"18","Electroshocking","0","0"
"8","evan5","evan10","10849456","EvansDitch","Middle",1972,"7/29/72","DNR","fathead minnow",NA,"2","Electroshocking","0","0"
"9","franklin11","franklin11","10850302","Franklin11","Middle",1972,"7/29/72","DNR","creek chub",NA,"1","Electroshocking","0","0"
"10","franklin11","franklin11","10850302","Franklin11","Middle",1972,"7/29/72","DNR","white sucker",NA,"5","Electroshocking","0","0"
"11","frank1","franklin12","10848522","Franklin12","Middle",1972,"7/29/72","DNR","blacknose dace",NA,"6","Electroshocking","0","0"
"12","frank1","franklin12","10848522","Franklin12","Middle",1972,"7/29/72","DNR","common shiner",NA,"1","Electroshocking","0","0"
"13","frank1","franklin12","10848522","Franklin12","Middle",1972,"7/29/72","DNR","creek chub",NA,"1","Electroshocking","0","0"
"14","frank1","franklin12","10848522","Franklin12","Middle",1972,"7/29/72","DNR","white sucker",NA,"4","Electroshocking","0","0"
"15","frank2","franklin13","10848482","Franklin13","Middle",1972,"7/29/72","DNR","blacknose dace",NA,"9","Electroshocking","0","0"
"16","frank2","franklin13","10848482","Franklin13","Middle",1972,"7/29/72","DNR","central stoneroller",NA,"42","Electroshocking","0","0"
"17","frank2","franklin13","10848482","Franklin13","Middle",1972,"7/29/72","DNR","creek chub",NA,"5","Electroshocking","0","0"
"18","frank2","franklin13","10848482","Franklin13","Middle",1972,"7/29/72","DNR","mottled sculpin",NA,"5","Electroshocking","0","0"
"19","john6","johnson13","10850134","JohnsonCreek13","Middle",1972,"7/29/72","DNR","blacknose dace",NA,"6","Electroshocking","0","0"
"20","john6","johnson13","10850134","JohnsonCreek13","Middle",1972,"7/29/72","DNR","brook stickleback",NA,"1","Electroshocking","0","0"
"21","john6","johnson13","10850134","JohnsonCreek13","Middle",1972,"7/29/72","DNR","creek chub",NA,"7","Electroshocking","0","0"
"22","john6","johnson13","10850134","JohnsonCreek13","Middle",1972,"7/29/72","DNR","white sucker",NA,"1","Electroshocking","0","0"
"23","johnson14","johnson14","10850134","JohnsonCreek14","Middle",1972,"7/29/72","DNR","blacknose dace",NA,"22","Electroshocking","0","0"
"24","johnson14","johnson14","10850134","JohnsonCreek14","Middle",1972,"7/29/72","DNR","central stoneroller",NA,"25","Electroshocking","0","0"
"25","johnson14","johnson14","10850134","JohnsonCreek14","Middle",1972,"7/29/72","DNR","creek chub",NA,"17","Electroshocking","0","0"
"26","johnson14","johnson14","10850134","JohnsonCreek14","Middle",1972,"7/29/72","DNR","johnny darter",NA,"3","Electroshocking","0","0"
"27","johnson14","johnson14","10850134","JohnsonCreek14","Middle",1972,"7/29/72","DNR","mottled sculpin",NA,"11","Electroshocking","0","0"
"28","johnson14","johnson14","10850134","JohnsonCreek14","Middle",1972,"7/29/72","DNR","pumpkinseed",NA,"1","Electroshocking","0","0"
"29","johnson14","johnson14","10850134","JohnsonCreek14","Middle",1972,"7/29/72","DNR","rainbow darter",NA,"3","Electroshocking","0","0"
