"","FIELDID","COMID","year","month","Method","TotalFish","Total_score","FinalScore","Intreptation","Branch","StreamName","DateSampled","Richness","DarterCount","SunfishCount","SuckerCount","IntolerantCount","Percent_Tolerant","Percent_Omnivores","Percent_Piscivores","Percent_Lithophilic","Percent_Insectivores","finalwidth_ft","Richness_upper","Richness_lower","Darter_upper","Darter_lower","Sunfish_upper","Sunfish_lower","Sucker_upper","Sucker_lower","Intolerant_upper","Intolerant_lower","Tolerant_upper","Tolerant_lower","Omnivore_upper","Omnivore_lower","Insectivore_upper","Insectivore_lower","Piscivore_upper","Piscivore_lower","Lithophilic_upper","Lithophilic_lower","Richness_score","Darter_score","Sunfish_score","Sucker_score","Intolerant_score","Tolerant_score","Omnivore_score","Insectivores_score","Piscivores_score","Lithophilic_score"
"1","bishopcr10","10849424",1972,"7","Shocking",0,0,-12,"poorlowfish","Middle","Ingersoll Creek",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","bishopcr10","10849424",1995,"7","Shocking",154,1,1,"acceptable:postive","Middle","Ingersoll Creek",1995,9,0,2,1,0,92.8571428571429,87.012987012987,0,16.8831168831169,12.3376623376623,5.5,6.6,4.18,1.21,0.605,0.935,0.4675,0.77,0.363,1.045,0.528,39,75,31,72,62,15,3,1,47,1,1,-1,1,1,-1,1,1,-1,-1,0
"3","bishopcr9","10849434",1972,"7","Shocking",114,-1,-1,"acceptable:negative","Middle","Ingersoll Creek",1972,6,0,3,0,0,80.7017543859649,76.3157894736842,0,0,23.6842105263158,4,4.8,3.04,0.88,0.44,0.68,0.34,0.56,0.264,0.76,0.384,39,75,31,72,62,15,3,1,47,1,1,-1,1,-1,-1,1,1,0,-1,-1
"4","dnr9","10848522",1972,"7","Shocking",28,-2,-12,"poorlowfish","Main","Franklin Creek",1972,8,0,3,1,0,89.2857142857143,89.2857142857143,0,39.2857142857143,10.7142857142857,14.15,14,10,3.113,1.5565,2.4055,1.20275,1.981,0.9339,2.6885,1.3584,39,75,31,72,62,15,3,1,47,1,-1,-1,1,0,-1,1,1,-1,-1,0
"5","dnrfel","10849706",1995,"7","Shocking",419,3,3,"acceptable:postive","Lower","Fellows Creek",1995,12,1,4,1,1,84.2482100238663,77.0883054892602,2.86396181384248,10.5011933174224,10.5011933174224,9,10.8,6.84,1.98,0.99,1.53,0.765,1.26,0.594,1.71,0.864,39,75,31,72,62,15,3,1,47,1,1,0,1,0,0,1,1,-1,0,0
"6","evan1","10848534",1986,"7","Shocking",6,-4,-12,"poorlowfish","Main","Evans Creek",1986,5,0,2,0,0,83.3333333333333,66.6666666666667,0,0,33.3333333333333,22,14,10,3,2,3,2,2,2,4.18,2.112,39,75,31,72,62,15,3,1,47,1,-1,-1,0,-1,-1,1,1,0,-1,-1
"7","evan5","10849456",1972,"7","Shocking",2,-6,-12,"poorlowfish","Main","Evans Creek",1972,1,0,0,0,0,100,100,0,0,0,24.2,14,10,3,2,3,2,2,2,4,2,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1
"8","evan5","10849456",1986,"7","Shocking",4,-8,-12,"poorlowfish","Main","Evans Creek",1986,1,0,1,0,0,0,0,0,0,100,24.2,14,10,3,2,3,2,2,2,4,2,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
"9","evan5","10849456",1995,"7","Shocking",70,-5,-5,"poor","Main","Evans Creek",1995,5,0,1,1,0,100,91.4285714285714,0,8.57142857142857,8.57142857142857,24.2,14,10,3,2,3,2,2,2,4,2,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,-1,-1,1,1,-1,-1,0
"10","fel6","10849704",1972,"7","Shocking",21,-3,-12,"poorlowfish","Lower","Fellows Creek",1972,4,0,0,0,1,47.6190476190476,47.6190476190476,0,4.76190476190476,28.5714285714286,9,10.8,6.84,1.98,0.99,1.53,0.765,1.26,0.594,1.71,0.864,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,-1,0,1,1,0,-1,0
