"","FIELDID","COMID","Method","TotalFish","Total_score","DateSampled","year","month","FinalScore","Intreptation","Branch","StreamName","Richness","DarterCount","SunfishCount","SuckerCount","IntolerantCount","Percent_Tolerant","Percent_Omnivores","Percent_Piscivores","Percent_Lithophilic","Percent_Insectivores","finalwidth_ft","Richness_upper","Richness_lower","Darter_upper","Darter_lower","Sunfish_upper","Sunfish_lower","Sucker_upper","Sucker_lower","Intolerant_upper","Intolerant_lower","Tolerant_upper","Tolerant_lower","Omnivore_upper","Omnivore_lower","Insectivore_upper","Insectivore_lower","Piscivore_upper","Piscivore_lower","Lithophilic_upper","Lithophilic_lower","Richness_score","Darter_score","Sunfish_score","Sucker_score","Intolerant_score","Tolerant_score","Omnivore_score","Insectivores_score","Piscivores_score","Lithophilic_score"
"1","bell1",10849560,"Seine",233,0,2016-09-16,2016,9,0,"neutral","Upper","Bell Branch",0,1,3,1,0,60.0858369098712,47.2103004291845,0.429184549356223,54.9356223175966,51.5021459227468,10,12,7.6,2.2,1.1,1.7,0.85,1.4,0.66,1.9,0.96,39,75,31,72,62,15,3,1,47,1,-1,-1,1,0,-1,1,1,0,-1,1
"2","bell4",10849564,"Seine",721,-2,2016-09-16,2016,9,-2,"acceptable:negative","Upper","Bell Branch",0,1,3,1,0,96.9486823855756,88.2108183079057,0,6.24133148404993,11.7891816920943,14.7666666666667,14,10,3.24866666666667,1.62433333333334,2.51033333333334,1.25516666666667,2.06733333333334,0.974600000000002,2.80566666666667,1.4176,39,75,31,72,62,15,3,1,47,1,-1,-1,1,0,-1,1,1,-1,-1,0
"3","bell4",10849564,"Shocking",117,-3,2022-06-17,2022,6,-3,"acceptable:negative","Upper","Bell Branch",0,1,1,1,0,93.1623931623932,58.1196581196581,0,5.12820512820513,41.8803418803419,14.7666666666667,14,10,3.24866666666667,1.62433333333334,2.51033333333334,1.25516666666667,2.06733333333334,0.974600000000002,2.80566666666667,1.4176,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,0,-1,1,1,0,-1,0
"4","bish2",10849426,"Seine",185,-2,2017-06-23,2017,6,-2,"acceptable:negative","Middle","Bishop Creek",0,1,3,0,0,88.6486486486487,38.9189189189189,0,8.64864864864865,61.0810810810811,11.7333333333333,14.08,8.91733333333331,2.58133333333333,1.29066666666666,1.99466666666666,0.99733333333333,1.64266666666666,0.774399999999998,2.22933333333333,1.1264,39,75,31,72,62,15,3,1,47,1,-1,-1,1,-1,-1,1,1,0,-1,0
"5","bish2",10849426,"Shocking",83,0,2022-07-06,2022,7,0,"neutral","Middle","Bishop Creek",0,1,2,1,0,93.9759036144578,90.3614457831325,4.81927710843374,12.0481927710843,4.81927710843374,11.7333333333333,14.08,8.91733333333331,2.58133333333333,1.29066666666666,1.99466666666666,0.99733333333333,1.64266666666666,0.774399999999998,2.22933333333333,1.1264,39,75,31,72,62,15,3,1,47,1,-1,-1,1,0,-1,1,1,-1,1,0
"6","dnrfel",10849706,"Shocking",71,-1,2022-06-13,2022,6,-1,"acceptable:negative","Lower","Fellows Creek",0,1,1,1,0,83.0985915492958,32.3943661971831,0,21.1267605633803,60.5633802816901,9,10.8,6.84,1.98,0.99,1.53,0.765,1.26,0.594,1.71,0.864,39,75,31,72,62,15,3,1,47,1,-1,0,0,0,-1,1,1,0,-1,0
"7","evan2",10850126,"Shocking",42,-4,2022-07-29,2022,7,-12,"poorlowfish","Main","Evans Creek",0,0,1,1,0,95.2380952380952,95.2380952380952,0,40.4761904761905,4.76190476190476,13.8,14,10,3.036,1.518,2.346,1.173,1.932,0.9108,2.622,1.3248,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,0,-1,1,1,-1,-1,0
"8","evan3",10849456,"Seine",112,-5,2018-06-22,2018,6,-5,"poor","Main","Evans Creek",0,0,0,1,0,98.2142857142857,98.2142857142857,0,29.4642857142857,1.78571428571429,24.2,14,10,3,2,3,2,2,2,4,2,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,-1,-1,1,1,-1,-1,0
"9","evan4",10849482,"Seine",153,-4,2020-07-30,2020,7,-4,"poor","Main","Evans Creek",0,1,0,1,0,86.9281045751634,76.4705882352941,0,27.4509803921569,23.5294117647059,25,14,10,3,2,3,2,2,2,4,2,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,-1,-1,1,1,0,-1,0
"10","evan5",10849456,"Seine",400,-5,2023-06-27,2023,6,-5,"poor","Main","Evans Creek",0,0,1,1,0,98.5,98.25,0,11.75,1.75,24.2,14,10,3,2,3,2,2,2,4,2,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,-1,-1,1,1,-1,-1,0
"11","evan5",10849456,"Seine",91,-5,2021-06-11,2021,6,-5,"poor","Main","Evans Creek",0,0,0,0,0,100,100,0,20.8791208791209,0,24.2,14,10,3,2,3,2,2,2,4,2,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,-1,-1,1,1,-1,-1,0
"12","evan5",10849456,"Shocking",38,-4,2022-07-29,2022,7,-12,"poorlowfish","Main","Evans Creek",0,0,0,1,0,100,100,0,55.2631578947368,0,24.2,14,10,3,2,3,2,2,2,4,2,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,-1,-1,1,1,-1,-1,1
"13","evan6",NA,"Shocking",29,NA,2022-07-29,2022,7,-12,"poorlowfish","Main","Evans Creek",0,0,0,0,0,100,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,-1,-1,-1
"14","fel1",10849646,"Seine",123,1,2013-09-14,2013,9,1,"acceptable:postive","Lower","Fellows Creek",0,1,2,1,1,94.3089430894309,62.6016260162602,0,9.75609756097561,37.3983739837398,9,10.8,6.84,1.98,0.99,1.53,0.765,1.26,0.594,1.71,0.864,39,75,31,72,62,15,3,1,47,1,-1,0,1,0,0,1,1,0,-1,0
"15","fel1",10849646,"Seine",124,-1,2014-09-06,2014,9,-1,"acceptable:negative","Lower","Fellows Creek",0,1,1,0,1,86.2903225806452,61.2903225806452,0,16.1290322580645,38.7096774193548,9,10.8,6.84,1.98,0.99,1.53,0.765,1.26,0.594,1.71,0.864,39,75,31,72,62,15,3,1,47,1,-1,0,0,-1,0,1,1,0,-1,0
"16","fel3",10849674,"Seine",103,-2,2013-09-14,2013,9,-2,"acceptable:negative","Lower","Fellows Creek",0,1,0,1,1,67.9611650485437,45.631067961165,0,27.1844660194175,54.368932038835,10,12,7.6,2.2,1.1,1.7,0.85,1.4,0.66,1.9,0.96,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,0,0,1,1,0,-1,0
"17","fel3",10849674,"Seine",35,1,2013-06-22,2013,6,-12,"poorlowfish","Lower","Fellows Creek",0,1,2,0,1,80,45.7142857142857,5.71428571428571,22.8571428571429,48.5714285714286,10,12,7.6,2.2,1.1,1.7,0.85,1.4,0.66,1.9,0.96,39,75,31,72,62,15,3,1,47,1,-1,-1,1,-1,0,1,1,0,1,0
