"","Branch","FIELDID","StreamName","Year","DateSampled","Common_Name","Quanity","Length","Final_FIELDID","COMID"
"1","Middle","bishopcr10","BishopCr10",1972,"June/ July","nfc",0,"0","bishopcr10","10849424"
"2","Middle","bishopcr9","BishopCr9",1972,"June/ July","bluegill",4,"0","bishopcr9","10849434"
"3","Middle","bishopcr9","BishopCr9",1972,"June/ July","central mudminnow",1,"0","bishopcr9","10849434"
"4","Middle","bishopcr9","BishopCr9",1972,"June/ July","creek chub",1,"0","bishopcr9","10849434"
"5","Middle","bishopcr9","BishopCr9",1972,"June/ July","fathead minnow",85,"0","bishopcr9","10849434"
"6","Middle","bishopcr9","BishopCr9",1972,"June/ July","green sunfish",5,"0","bishopcr9","10849434"
"7","Middle","bishopcr9","BishopCr9",1972,"June/ July","pumpkinseed",18,"0","bishopcr9","10849434"
"8","Middle","evan10","EvansDitch",1972,"June/ July","fathead minnow",2,"0","evan5","10849456"
"9","Middle","franklin11","Franklin11",1972,"June/ July","creek chub",1,"0","franklin11","10850302"
"10","Middle","franklin11","Franklin11",1972,"June/ July","white sucker",5,"0","franklin11","10850302"
"11","Middle","franklin12","Franklin12",1972,"June/ July","blacknose dace",6,"0","frank1","10848522"
"12","Middle","franklin12","Franklin12",1972,"June/ July","common shiner",1,"0","frank1","10848522"
"13","Middle","franklin12","Franklin12",1972,"June/ July","creek chub",1,"0","frank1","10848522"
"14","Middle","franklin12","Franklin12",1972,"June/ July","white sucker",4,"0","frank1","10848522"
"15","Middle","franklin13","Franklin13",1972,"June/ July","blacknose dace",9,"0","frank2","10848482"
"16","Middle","franklin13","Franklin13",1972,"June/ July","central stoneroller",42,"0","frank2","10848482"
"17","Middle","franklin13","Franklin13",1972,"June/ July","creek chub",5,"0","frank2","10848482"
"18","Middle","franklin13","Franklin13",1972,"June/ July","mottled sculpin",5,"0","frank2","10848482"
"19","Middle","johnson13","JohnsonCreek13",1972,"June/ July","blacknose dace",6,"0","john6","10850134"
"20","Middle","johnson13","JohnsonCreek13",1972,"June/ July","brook stickleback",1,"0","john6","10850134"
"21","Middle","johnson13","JohnsonCreek13",1972,"June/ July","creek chub",7,"0","john6","10850134"
"22","Middle","johnson13","JohnsonCreek13",1972,"June/ July","white sucker",1,"0","john6","10850134"
"23","Middle","johnson14","JohnsonCreek14",1972,"June/ July","blacknose dace",22,"0","johnson14","10850134"
"24","Middle","johnson14","JohnsonCreek14",1972,"June/ July","central stoneroller",25,"0","johnson14","10850134"
"25","Middle","johnson14","JohnsonCreek14",1972,"June/ July","creek chub",17,"0","johnson14","10850134"
"26","Middle","johnson14","JohnsonCreek14",1972,"June/ July","johnny darter",3,"0","johnson14","10850134"
"27","Middle","johnson14","JohnsonCreek14",1972,"June/ July","mottled sculpin",11,"0","johnson14","10850134"
"28","Middle","johnson14","JohnsonCreek14",1972,"June/ July","pumpkinseed",1,"0","johnson14","10850134"
"29","Middle","johnson14","JohnsonCreek14",1972,"June/ July","rainbow darter",3,"0","johnson14","10850134"
"30","Middle","johnson14","JohnsonCreek14",1972,"June/ July","redside dace",1,"0","johnson14","10850134"
"31","Middle","johnson15","JohnsonCreek15",1972,"June/ July","central stoneroller",1,"0","john3","10849522"
"32","Middle","johnson15","JohnsonCreek15",1972,"June/ July","creek chub",8,"0","john3","10849522"
"33","Middle","johnson15","JohnsonCreek15",1972,"June/ July","mottled sculpin",1,"0","john3","10849522"
"34","Middle","johnson15","JohnsonCreek15",1972,"June/ July","rainbow darter",1,"0","john3","10849522"
"35","Middle","johnson15","JohnsonCreek15",1972,"June/ July","redside dace",2,"0","john3","10849522"
"36","Middle","johnson15","JohnsonCreek15",1972,"June/ July","white sucker",1,"0","john3","10849522"
