"","FIELDID","COMID","DateSampled","TotalFish","Richness","DarterCount","SunfishCount","SuckerCount","IntolerantCount","Percent_Tolerant","Percent_Omnivores","Percent_Piscivores","Percent_Lithophilic","Percent_Insectivores"
"1","bishopcr10","10849424",1972,0,0,0,0,0,0,0,NA,NA,NA,NA
"2","bishopcr10","10849424",1995,154,9,0,2,1,0,92.8571428571429,87.012987012987,0,16.8831168831169,12.3376623376623
"3","bishopcr9","10849434",1972,114,6,0,3,0,0,80.7017543859649,76.3157894736842,0,0,23.6842105263158
"4","dnr9","10848522",1972,28,8,0,3,1,0,89.2857142857143,89.2857142857143,0,39.2857142857143,10.7142857142857
"5","dnrfel","10849706",1995,419,12,1,4,1,1,84.2482100238663,77.0883054892602,2.86396181384248,10.5011933174224,10.5011933174224
"6","evan1","10848534",1986,6,5,0,2,0,0,83.3333333333333,66.6666666666667,0,0,33.3333333333333
"7","evan5","10849456",1972,2,1,0,0,0,0,100,100,0,0,0
"8","evan5","10849456",1986,4,1,0,1,0,0,0,0,0,0,100
"9","evan5","10849456",1995,70,5,0,1,1,0,100,91.4285714285714,0,8.57142857142857,8.57142857142857
"10","fel6","10849704",1972,21,4,0,0,0,1,47.6190476190476,47.6190476190476,0,4.76190476190476,28.5714285714286
"11","fowl2","10849786",1972,7,4,0,0,0,0,85.7142857142857,85.7142857142857,0,0,14.2857142857143
"12","fowl4","10849812",1972,1,1,0,0,0,0,100,100,0,0,0
"13","fowl5","10849784",1995,54,3,0,1,0,0,88.8888888888889,88.8888888888889,0,0,11.1111111111111
"14","frank1","10848522",1972,12,4,0,0,1,0,91.6666666666667,91.6666666666667,0,91.6666666666667,8.33333333333333
"15","frank1","10848522",1995,572,8,0,2,1,1,40.9090909090909,40.5594405594406,0.174825174825175,20.2797202797203,58.9160839160839
"16","frank2","10848482",1972,61,4,0,0,0,1,22.9508196721311,22.9508196721311,0,14.7540983606557,8.19672131147541
"17","franklin11","10850302",1972,6,2,0,0,1,0,100,100,0,83.3333333333333,0
"18","john3","10849522",1972,14,6,1,0,1,3,64.2857142857143,64.2857142857143,0,14.2857142857143,28.5714285714286
"19","john6","10850134",1972,15,4,0,0,1,0,93.3333333333333,93.3333333333333,0,46.6666666666667,6.66666666666667
"20","john7","10849568",1972,29,7,0,0,1,1,55.1724137931034,55.1724137931034,0,31.0344827586207,20.6896551724138
"21","johnson14","10850134",1972,83,8,2,1,0,3,50.6024096385542,46.9879518072289,0,30.1204819277108,22.8915662650602
"22","l-7","10850176",1995,179,6,0,1,1,0,75.9776536312849,75.4189944134078,0,5.58659217877095,19.5530726256983
"23","low14","10850162",1986,19,4,0,1,0,0,21.0526315789474,21.0526315789474,0,0,5.26315789473684
"24","low4","10849774",1986,287,13,0,2,1,0,74.5644599303136,71.4285714285714,0,24.7386759581882,26.4808362369338
"25","low4","10849774",1995,76,7,0,2,1,0,94.7368421052632,61.8421052631579,2.63157894736842,2.63157894736842,35.5263157894737
"26","low6","10849810",1986,141,10,1,1,1,0,95.7446808510638,84.3971631205674,0,54.6099290780142,14.8936170212766
"27","low6","10849810",1995,280,10,1,3,1,0,95.3571428571429,68.9285714285714,0.357142857142857,19.6428571428571,30.7142857142857
"28","lower1","10849762",1972,3,2,0,2,0,0,66.6666666666667,0,0,0,100
"29","lower10","10849708",1972,5,2,0,1,1,0,100,60,0,60,40
"30","lower3","10849790",1972,5,3,0,1,0,0,100,80,0,0,20
"31","lower4","10849794",1972,58,6,0,0,0,0,27.5862068965517,27.5862068965517,0,0,3.44827586206897
"32","lr-11","10850162",1986,33,6,0,0,1,0,90.9090909090909,90.9090909090909,0,9.09090909090909,0
"33","lr-11","10850162",1995,201,11,0,4,0,0,96.5174129353234,91.5422885572139,0.995024875621891,0,6.96517412935323
"34","lr-4","10849790",1972,17,6,0,1,1,1,94.1176470588235,94.1176470588235,5.88235294117647,23.5294117647059,0
"35","main13","10848472",1972,14,4,0,2,0,0,71.4285714285714,71.4285714285714,0,0,14.2857142857143
"36","main18","10848472",1972,10,2,0,1,0,0,0,0,0,0,0
"37","main18","10848472",1986,265,13,0,5,1,2,52.8301886792453,50.9433962264151,13.5849056603774,9.0566037735849,6.41509433962264
"38","main18","10848472",1995,933,15,1,4,1,2,63.6655948553055,62.8081457663451,3.32261521972133,32.0471596998928,29.3676312968918
"39","main3","10848472",1972,15,6,0,5,1,0,26.6666666666667,13.3333333333333,6.66666666666667,13.3333333333333,73.3333333333333
"40","main6","10849438",1972,22,4,0,0,1,0,90.9090909090909,90.9090909090909,0,63.6363636363636,9.09090909090909
"41","main7dnr","10848472",1972,18,6,0,5,1,0,16.6666666666667,16.6666666666667,5.55555555555556,16.6666666666667,33.3333333333333
"42","md-10","10849718",1995,143,7,0,2,1,0,97.2027972027972,72.7272727272727,1.3986013986014,22.3776223776224,25.8741258741259
"43","md-13","10849426",1995,437,12,1,4,1,0,87.1853546910755,82.837528604119,6.63615560640732,29.7482837528604,8.23798627002288
"44","md-14","10849630",1995,413,15,2,4,1,4,52.5423728813559,35.8353510895884,0.968523002421308,12.8329297820823,62.227602905569
"45","md-2","10849464",1972,7,5,0,3,1,0,28.5714285714286,28.5714285714286,0,14.2857142857143,28.5714285714286
"46","md-2","10849464",1986,148,18,1,5,2,2,82.4324324324324,54.7297297297297,7.43243243243243,23.6486486486486,33.7837837837838
"47","md-2","10849464",1995,675,18,1,6,1,1,79.7037037037037,54.8148148148148,10.6666666666667,30.8148148148148,33.1851851851852
"48","md-6","10849648",1986,57,8,0,5,1,1,57.8947368421053,57.8947368421053,17.5438596491228,10.5263157894737,24.5614035087719
"49","md-6","10849648",1995,62,9,0,5,1,1,19.3548387096774,17.741935483871,48.3870967741936,11.2903225806452,32.258064516129
"50","mid1","10850296",1972,52,9,0,3,1,0,80.7692307692308,78.8461538461538,1.92307692307692,34.6153846153846,13.4615384615385
"51","mid2","10849642",1972,27,4,0,2,0,0,3.7037037037037,11.1111111111111,0,0,88.8888888888889
"52","mid3","10849648",1972,180,9,0,4,1,0,65.5555555555556,65.5555555555556,0,2.22222222222222,33.3333333333333
"53","middle1","10849670",1972,1,1,0,0,0,0,100,100,0,0,0
"54","middle3","10849642",1986,215,11,1,5,1,1,21.8604651162791,21.3953488372093,26.046511627907,12.093023255814,48.3720930232558
"55","middle4","10849642",1972,54,7,0,4,0,1,1.85185185185185,1.85185185185185,1.85185185185185,0,90.7407407407407
"56","middle7","10850304",1972,92,9,1,2,1,0,90.2173913043478,89.1304347826087,2.17391304347826,58.695652173913,8.69565217391304
