"","FIELDID","COMID","year","month","Method","TotalFish","Total_score","FinalScore","Intreptation","Branch","StreamName"
"1","bishopcr10","10849424",1972,"7","Shocking",0,0,-12,"poorlowfish","Middle","Ingersoll Creek"
"2","bishopcr10","10849424",1995,"7","Shocking",154,1,1,"acceptable:postive","Middle","Ingersoll Creek"
"3","bishopcr9","10849434",1972,"7","Shocking",114,-1,-1,"acceptable:negative","Middle","Ingersoll Creek"
"4","dnr9","10848522",1972,"7","Shocking",28,0,-12,"poorlowfish","Main","Franklin Creek"
"5","dnrfel","10849706",1995,"7","Shocking",419,0,0,"neutral","Lower","Fellows Creek"
"6","evan1","10848534",1986,"7","Shocking",6,-4,-12,"poorlowfish","Main","Evans Creek"
"7","evan5","10849456",1972,"7","Shocking",2,0,-12,"poorlowfish","Main","Evans Creek"
"8","evan5","10849456",1986,"7","Shocking",4,0,-12,"poorlowfish","Main","Evans Creek"
"9","evan5","10849456",1995,"7","Shocking",70,0,0,"neutral","Main","Evans Creek"
"10","fel6","10849704",1972,"7","Shocking",21,0,-12,"poorlowfish","Lower","Fellows Creek"
"11","fowl2","10849786",1972,"7","Shocking",7,0,-12,"poorlowfish","Lower","Fowler Creek"
"12","fowl4","10849812",1972,"7","Shocking",1,0,-12,"poorlowfish","Lower","Fowler Creek"
"13","fowl5","10849784",1995,"7","Shocking",54,0,0,"neutral","Lower","Fowler Creek"
"14","frank1","10848522",1972,"7","Shocking",12,0,-12,"poorlowfish","Main","Franklin Creek"
"15","frank1","10848522",1995,"7","Shocking",572,0,0,"neutral","Main","Franklin Creek"
"16","frank2","10848482",1972,"7","Shocking",61,0,0,"neutral","Main","Franklin Creek"
"17","franklin11","10850302",1972,"7","Shocking",6,-4,-12,"poorlowfish","Main","Franklin Creek"
"18","john3","10849522",1972,"7","Shocking",14,0,-12,"poorlowfish","Middle","Johnson Creek"
"19","john6","10850134",1972,"7","Shocking",15,0,-12,"poorlowfish","Middle","Johnson Creek"
"20","john7","10849568",1972,"7","Shocking",29,0,-12,"poorlowfish","Middle","Johnson Creek"
"21","johnson14","10850134",1972,"7","Shocking",83,-1,-1,"acceptable:negative",NA,NA
"22","l-7","10850176",1995,"7","Shocking",179,2,2,"acceptable:postive","Lower","Apple Creek"
"23","low14","10850162",1986,"7","Shocking",19,0,-12,"poorlowfish","Lower","Lower Rouge"
"24","low4","10849774",1986,"7","Shocking",287,0,0,"neutral","Lower","Lower Rouge"
