"","FIELDID","COMID","DateSampled","TotalFish","Richness","DarterCount","SunfishCount","SuckerCount","IntolerantCount","Percent_Tolerant","Percent_Omnivores","Percent_Piscivores","Percent_Lithophilic","Percent_Insectivores","finalwidth_ft","Richness_upper","Richness_lower","Darter_upper","Darter_lower","Sunfish_upper","Sunfish_lower","Sucker_upper","Sucker_lower","Intolerant_upper","Intolerant_lower","Tolerant_upper","Tolerant_lower","Omnivore_upper","Omnivore_lower","Insectivore_upper","Insectivore_lower","Piscivore_upper","Piscivore_lower","Lithophilic_upper","Lithophilic_lower","Richness_score","Darter_score","Sunfish_score","Sucker_score","Intolerant_score","Tolerant_score","Omnivore_score","Insectivores_score","Piscivores_score","Lithophilic_score","Total_score"
"1","bishopcr10","10849424",1972,0,0,0,0,0,0,0,NA,NA,NA,NA,5.5,6.6,4.18,1.21,0.605,0.935,0.4675,0.77,0.363,1.045,0.528,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA
"2","bishopcr10","10849424",1995,154,9,0,2,1,0,92.8571428571429,87.012987012987,0,16.8831168831169,12.3376623376623,5.5,6.6,4.18,1.21,0.605,0.935,0.4675,0.77,0.363,1.045,0.528,39,75,31,72,62,15,3,1,47,1,1,-1,1,1,-1,1,1,-1,-1,0,1
"3","bishopcr9","10849434",1972,114,6,0,3,0,0,80.7017543859649,76.3157894736842,0,0,23.6842105263158,4,4.8,3.04,0.88,0.44,0.68,0.34,0.56,0.264,0.76,0.384,39,75,31,72,62,15,3,1,47,1,1,-1,1,-1,-1,1,1,0,-1,-1,-1
"4","dnr9","10848522",1972,28,8,0,3,1,0,89.2857142857143,89.2857142857143,0,39.2857142857143,10.7142857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,-1,-1,0,NA
"5","dnrfel","10849706",1995,419,12,1,4,1,1,84.2482100238663,77.0883054892602,2.86396181384248,10.5011933174224,10.5011933174224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,-1,0,0,NA
"6","evan1","10848534",1986,6,5,0,2,0,0,83.3333333333333,66.6666666666667,0,0,33.3333333333333,22,14,10,3,2,3,2,2,2,4.18,2.112,39,75,31,72,62,15,3,1,47,1,-1,-1,0,-1,-1,1,1,0,-1,-1,-4
"7","evan5","10849456",1972,2,1,0,0,0,0,100,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,-1,-1,-1,NA
"8","evan5","10849456",1986,4,1,0,1,0,0,0,0,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,-1,-1,1,-1,-1,NA
"9","evan5","10849456",1995,70,5,0,1,1,0,100,91.4285714285714,0,8.57142857142857,8.57142857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,-1,-1,0,NA
"10","fel6","10849704",1972,21,4,0,0,0,1,47.6190476190476,47.6190476190476,0,4.76190476190476,28.5714285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,0,-1,0,NA
"11","fowl2","10849786",1972,7,4,0,0,0,0,85.7142857142857,85.7142857142857,0,0,14.2857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,-1,-1,-1,NA
"12","fowl4","10849812",1972,1,1,0,0,0,0,100,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,-1,-1,-1,NA
"13","fowl5","10849784",1995,54,3,0,1,0,0,88.8888888888889,88.8888888888889,0,0,11.1111111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,-1,-1,-1,NA
"14","frank1","10848522",1972,12,4,0,0,1,0,91.6666666666667,91.6666666666667,0,91.6666666666667,8.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,-1,-1,1,NA
"15","frank1","10848522",1995,572,8,0,2,1,1,40.9090909090909,40.5594405594406,0.174825174825175,20.2797202797203,58.9160839160839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,0,-1,0,NA
"16","frank2","10848482",1972,61,4,0,0,0,1,22.9508196721311,22.9508196721311,0,14.7540983606557,8.19672131147541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,-1,-1,-1,-1,0,NA
"17","franklin11","10850302",1972,6,2,0,0,1,0,100,100,0,83.3333333333333,0,20.5380584,14,10,3,2,3,2,2,2,3.902231096,1.9716536064,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-4
"18","john3","10849522",1972,14,6,1,0,1,3,64.2857142857143,64.2857142857143,0,14.2857142857143,28.5714285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,0,-1,0,NA
"19","john6","10850134",1972,15,4,0,0,1,0,93.3333333333333,93.3333333333333,0,46.6666666666667,6.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,-1,-1,0,NA
