"","FIELDID","Method","DateSampled","TotalFish","Richness","DarterCount","SunfishCount","SuckerCount","IntolerantCount","Percent_Tolerant","Percent_Omnivores","Percent_Piscivores","Percent_Lithophilic","Percent_Insectivores","COMID","finalwidth_ft","Richness_upper","Richness_lower","Darter_upper","Darter_lower","Sunfish_upper","Sunfish_lower","Sucker_upper","Sucker_lower","Intolerant_upper","Intolerant_lower","Tolerant_upper","Tolerant_lower","Omnivore_upper","Omnivore_lower","Insectivore_upper","Insectivore_lower","Piscivore_upper","Piscivore_lower","Lithophilic_upper","Lithophilic_lower","Richness_score","Darter_score","Sunfish_score","Sucker_score","Intolerant_score","Tolerant_score","Omnivore_score","Insectivores_score","Piscivores_score","Lithophilic_score","Total_score"
"1","bell1","Seine",2016-09-16,233,0,1,3,1,0,60.0858369098712,47.2103004291845,0.429184549356223,54.9356223175966,51.5021459227468,10849560,10,12,7.6,2.2,1.1,1.7,0.85,1.4,0.66,1.9,0.96,39,75,31,72,62,15,3,1,47,1,-1,-1,1,0,-1,1,1,0,-1,1,0
"2","bell4","Seine",2016-09-16,721,0,1,3,1,0,96.9486823855756,88.2108183079057,0,6.24133148404993,11.7891816920943,10849564,14.7666666666667,14,10,3.24866666666667,1.62433333333334,2.51033333333334,1.25516666666667,2.06733333333334,0.974600000000002,2.80566666666667,1.4176,39,75,31,72,62,15,3,1,47,1,-1,-1,1,0,-1,1,1,-1,-1,0,-2
"3","bish2","Seine",2017-06-23,185,0,1,3,0,0,88.6486486486487,38.9189189189189,0,8.64864864864865,61.0810810810811,10849426,11.7333333333333,14.08,8.91733333333331,2.58133333333333,1.29066666666666,1.99466666666666,0.99733333333333,1.64266666666666,0.774399999999998,2.22933333333333,1.1264,39,75,31,72,62,15,3,1,47,1,-1,-1,1,-1,-1,1,1,0,-1,0,-2
"4","evan2","Seine",2016-10-06,317,0,0,2,1,0,97.7917981072555,95.8990536277603,0.315457413249211,8.83280757097792,3.78548895899054,10850126,13.8,14,10,3.036,1.518,2.346,1.173,1.932,0.9108,2.622,1.3248,39,75,31,72,62,15,3,1,47,1,-1,-1,0,0,-1,1,1,-1,-1,0,-3
"5","evan3","Seine",2018-06-22,112,0,0,0,1,0,98.2142857142857,98.2142857142857,0,29.4642857142857,1.78571428571429,10849456,24.2,14,10,3,2,3,2,2,2,4,2,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,-1,-1,1,1,-1,-1,0,-5
"6","evan4","Seine",2020-07-30,153,0,1,0,1,0,86.9281045751634,76.4705882352941,0,27.4509803921569,23.5294117647059,10849482,25,14,10,3,2,3,2,2,2,4,2,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,-1,-1,1,1,0,-1,0,-4
"7","evan5","Seine",2021-06-11,91,0,0,0,0,0,100,100,0,20.8791208791209,0,10849456,24.2,14,10,3,2,3,2,2,2,4,2,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,-1,-1,1,1,-1,-1,0,-5
"8","evan5","Seine",2023-06-27,400,0,0,1,1,0,98.5,98.25,0,11.75,1.75,10849456,24.2,14,10,3,2,3,2,2,2,4,2,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,-1,-1,1,1,-1,-1,0,-5
"9","fel1","Seine",2013-05-17,205,0,1,3,0,1,91.7073170731707,77.0731707317073,0,6.34146341463415,21.9512195121951,10849646,9,10.8,6.84,1.98,0.99,1.53,0.765,1.26,0.594,1.71,0.864,39,75,31,72,62,15,3,1,47,1,-1,0,1,-1,0,1,1,0,-1,0,0
"10","fel1","Seine",2013-09-14,123,0,1,2,1,1,94.3089430894309,62.6016260162602,0,9.75609756097561,37.3983739837398,10849646,9,10.8,6.84,1.98,0.99,1.53,0.765,1.26,0.594,1.71,0.864,39,75,31,72,62,15,3,1,47,1,-1,0,1,0,0,1,1,0,-1,0,1
"11","fel1","Seine",2014-05-17,94,0,1,2,0,1,76.5957446808511,35.1063829787234,0,18.0851063829787,63.8297872340426,10849646,9,10.8,6.84,1.98,0.99,1.53,0.765,1.26,0.594,1.71,0.864,39,75,31,72,62,15,3,1,47,1,-1,0,1,-1,0,1,1,1,-1,0,1
"12","fel1","Seine",2014-09-06,124,0,1,1,0,1,86.2903225806452,61.2903225806452,0,16.1290322580645,38.7096774193548,10849646,9,10.8,6.84,1.98,0.99,1.53,0.765,1.26,0.594,1.71,0.864,39,75,31,72,62,15,3,1,47,1,-1,0,0,-1,0,1,1,0,-1,0,-1
"13","fel3","Seine",2013-06-22,35,0,1,2,0,1,80,45.7142857142857,5.71428571428571,22.8571428571429,48.5714285714286,10849674,10,12,7.6,2.2,1.1,1.7,0.85,1.4,0.66,1.9,0.96,39,75,31,72,62,15,3,1,47,1,-1,-1,1,-1,0,1,1,0,1,0,1
"14","fel3","Seine",2013-09-14,103,0,1,0,1,1,67.9611650485437,45.631067961165,0,27.1844660194175,54.368932038835,10849674,10,12,7.6,2.2,1.1,1.7,0.85,1.4,0.66,1.9,0.96,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,0,0,1,1,0,-1,0,-2
"15","fel3","Seine",2014-05-17,113,0,1,1,1,1,95.575221238938,79.646017699115,0,25.6637168141593,18.5840707964602,10849674,10,12,7.6,2.2,1.1,1.7,0.85,1.4,0.66,1.9,0.96,39,75,31,72,62,15,3,1,47,1,-1,-1,0,0,0,1,1,0,-1,0,-1
"16","fel3","Seine",2014-09-06,88,0,1,2,1,1,68.1818181818182,39.7727272727273,2.27272727272727,14.7727272727273,56.8181818181818,10849674,10,12,7.6,2.2,1.1,1.7,0.85,1.4,0.66,1.9,0.96,39,75,31,72,62,15,3,1,47,1,-1,-1,1,0,0,1,1,0,0,0,1
"17","fel4","Seine",2013-05-18,449,0,1,3,1,1,48.7750556792873,34.9665924276169,0,55.2338530066815,60.3563474387528,10849736,9.3,11.16,7.068,2.046,1.023,1.581,0.7905,1.302,0.6138,1.767,0.8928,39,75,31,72,62,15,3,1,47,1,-1,-1,1,0,0,1,1,0,-1,1,1
"18","fel4","Seine",2013-09-27,113,0,1,2,1,0,70.7964601769911,27.4336283185841,0.884955752212389,30.0884955752212,69.0265486725664,10849736,9.3,11.16,7.068,2.046,1.023,1.581,0.7905,1.302,0.6138,1.767,0.8928,39,75,31,72,62,15,3,1,47,1,-1,-1,1,0,-1,1,-1,1,-1,0,-2
"19","fel4","Seine",2014-06-13,161,0,1,2,1,0,61.4906832298137,34.7826086956522,0,39.751552795031,62.111801242236,10849736,9.3,11.16,7.068,2.046,1.023,1.581,0.7905,1.302,0.6138,1.767,0.8928,39,75,31,72,62,15,3,1,47,1,-1,-1,1,0,-1,1,1,1,-1,0,0
"20","fel4","Seine",2014-09-19,107,0,1,2,0,0,46.7289719626168,23.3644859813084,0,54.2056074766355,75.7009345794392,10849736,9.3,11.16,7.068,2.046,1.023,1.581,0.7905,1.302,0.6138,1.767,0.8928,39,75,31,72,62,15,3,1,47,1,-1,-1,1,-1,-1,1,-1,1,-1,1,-2
"21","fel4","Seine",2023-06-28,340,0,2,3,1,0,60,19.4117647058824,0.294117647058824,44.1176470588235,80.2941176470588,10849736,9.3,11.16,7.068,2.046,1.023,1.581,0.7905,1.302,0.6138,1.767,0.8928,39,75,31,72,62,15,3,1,47,1,-1,0,1,0,-1,1,-1,1,-1,0,-1
"22","fel5","Seine",2013-06-22,37,0,1,0,0,0,100,13.5135135135135,0,10.8108108108108,86.4864864864865,10849704,9,10.8,6.84,1.98,0.99,1.53,0.765,1.26,0.594,1.71,0.864,39,75,31,72,62,15,3,1,47,1,-1,0,-1,-1,-1,1,-1,1,-1,0,-4
"23","fel5","Seine",2013-09-27,142,0,1,1,1,1,93.6619718309859,54.2253521126761,0,11.9718309859155,45.7746478873239,10849704,9,10.8,6.84,1.98,0.99,1.53,0.765,1.26,0.594,1.71,0.864,39,75,31,72,62,15,3,1,47,1,-1,0,0,0,0,1,1,0,-1,0,0
"24","fel5","Seine",2014-05-20,113,0,1,3,1,1,87.6106194690265,53.9823008849557,0,17.6991150442478,39.8230088495575,10849704,9,10.8,6.84,1.98,0.99,1.53,0.765,1.26,0.594,1.71,0.864,39,75,31,72,62,15,3,1,47,1,-1,0,1,0,0,1,1,0,-1,0,1
"25","fel5","Seine",2014-09-06,56,0,1,1,0,1,85.7142857142857,35.7142857142857,1.78571428571429,17.8571428571429,62.5,10849704,9,10.8,6.84,1.98,0.99,1.53,0.765,1.26,0.594,1.71,0.864,39,75,31,72,62,15,3,1,47,1,-1,0,0,-1,0,1,1,1,0,0,1
"26","fel6","Seine",2013-06-22,72,0,1,4,1,1,83.3333333333333,52.7777777777778,0,8.33333333333333,43.0555555555556,10849704,9,10.8,6.84,1.98,0.99,1.53,0.765,1.26,0.594,1.71,0.864,39,75,31,72,62,15,3,1,47,1,-1,0,1,0,0,1,1,0,-1,0,1
"27","fel6","Seine",2013-09-27,138,0,1,2,1,1,77.536231884058,31.1594202898551,0.72463768115942,16.6666666666667,68.1159420289855,10849704,9,10.8,6.84,1.98,0.99,1.53,0.765,1.26,0.594,1.71,0.864,39,75,31,72,62,15,3,1,47,1,-1,0,1,0,0,1,1,1,-1,0,2
