"","UpperRouge_Shocking","FellowsCreek_NA","MainRouge_NA","QuartonBranch_Shocking","BellBranch_Shocking","BellBranch_NA","BishopCreek_Shocking","BishopCreek_NA","EvansCreek_Shocking","EvansCreek_NA","FellowsCreek_Shocking","FowlerCreek_Shocking","FowlerCreek_NA","FranklinCreek_Shocking","FranklinCreek_NA","JohnsonCreek_Shocking","JohnsonCreek_NA","LowerRouge_Shocking","LowerRouge_NA","MainRouge_Shocking","MiddleRouge_Shocking","MinnowPond_Shocking","MinnowPond_NA","PebbleCreek_Shocking","PebbleCreek_NA","SeeleyCreek_Shocking","SeeleyCreek_NA","TarabusiCreek_Shocking","TarabusiCreek_NA","TonquishCreek_Shocking","TonquishCreek_NA","UpperRouge_NA","WalledLkDrainage_Shocking","WalledLkDrainage_NA","MiddleRouge_NA","QuartonBranch_NA","WillowCreek_Shocking","WillowCreek_NA"
"UpperRouge_Shocking",100,75,57.8947368421053,23.0769230769231,56,66.6666666666667,50,56,52.1739130434783,50,77.4193548387097,57.1428571428571,51.4285714285714,58.3333333333333,45.4545454545455,61.1111111111111,70.5882352941176,50,57.1428571428571,61.5384615384615,57.8947368421053,66.6666666666667,73.3333333333333,45.4545454545455,50,71.4285714285714,70.9677419354839,56,59.2592592592593,66.6666666666667,70.9677419354839,81.25,52.1739130434783,48,47.0588235294118,46.1538461538462,56,52.1739130434783
"FellowsCreek_NA",75,100,66.6666666666667,41.6666666666667,60.8695652173913,72,63.6363636363636,60.8695652173913,47.6190476190476,63.6363636363636,75.8620689655172,66.6666666666667,66.6666666666667,63.6363636363636,50,64.7058823529412,62.5,57.1428571428571,55,64.8648648648649,66.6666666666667,72,71.4285714285714,50,54.5454545454545,76.9230769230769,82.7586206896552,60.8695652173913,72,72,89.6551724137931,73.3333333333333,57.1428571428571,52.1739130434783,50,58.3333333333333,69.5652173913043,57.1428571428571
"MainRouge_NA",57.8947368421053,66.6666666666667,100,46.6666666666667,55.1724137931034,64.5161290322581,50,41.3793103448276,37.037037037037,50,68.5714285714286,56.4102564102564,61.5384615384615,42.8571428571429,30.7692307692308,55,57.8947368421053,62.5,73.9130434782609,83.7209302325581,71.4285714285714,58.0645161290322,58.8235294117647,38.4615384615385,42.8571428571429,56.25,57.1428571428571,55.1724137931034,64.5161290322581,51.6129032258064,62.8571428571429,61.1111111111111,44.4444444444444,41.3793103448276,52.6315789473684,60,55.1724137931034,44.4444444444444
"QuartonBranch_Shocking",23.0769230769231,41.6666666666667,46.6666666666667,100,35.2941176470588,42.1052631578947,37.5,23.5294117647059,26.6666666666667,25,26.0869565217391,44.4444444444444,37.037037037037,12.5,14.2857142857143,35.7142857142857,30.7692307692308,44.4444444444444,35.2941176470588,45.1612903225806,53.3333333333333,42.1052631578947,36.3636363636364,14.2857142857143,12.5,20,34.7826086956522,47.0588235294118,52.6315789473684,31.578947368421,34.7826086956522,25,26.6666666666667,11.7647058823529,46.1538461538462,66.6666666666667,23.5294117647059,13.3333333333333
"BellBranch_Shocking",56,60.8695652173913,55.1724137931034,35.2941176470588,100,88.8888888888889,66.6666666666667,50,71.4285714285714,66.6666666666667,63.6363636363636,53.8461538461538,53.8461538461538,66.6666666666667,61.5384615384615,44.4444444444444,56,45.7142857142857,48.4848484848485,53.3333333333333,55.1724137931034,77.7777777777778,76.1904761904762,61.5384615384615,66.6666666666667,63.1578947368421,63.6363636363636,87.5,88.8888888888889,77.7777777777778,63.6363636363636,60.8695652173913,57.1428571428571,62.5,48,70.5882352941176,62.5,71.4285714285714
"BellBranch_NA",66.6666666666667,72,64.5161290322581,42.1052631578947,88.8888888888889,100,70.5882352941176,66.6666666666667,62.5,70.5882352941176,75,64.2857142857143,64.2857142857143,58.8235294117647,53.3333333333333,55.1724137931034,66.6666666666667,54.0540540540541,57.1428571428571,62.5,64.5161290322581,80,78.2608695652174,66.6666666666667,58.8235294117647,76.1904761904762,66.6666666666667,88.8888888888889,90,80,75,72,75,66.6666666666667,51.8518518518519,73.6842105263158,66.6666666666667,62.5
"BishopCreek_Shocking",50,63.6363636363636,50,37.5,66.6666666666667,70.5882352941176,100,53.3333333333333,61.5384615384615,71.4285714285714,57.1428571428571,56,56,57.1428571428571,50,53.8461538461538,50,41.1764705882353,43.75,48.2758620689655,50,58.8235294117647,60,50,57.1428571428571,66.6666666666667,66.6666666666667,66.6666666666667,82.3529411764706,70.5882352941176,66.6666666666667,54.5454545454545,76.9230769230769,66.6666666666667,41.6666666666667,62.5,66.6666666666667,61.5384615384615
"BishopCreek_NA",56,60.8695652173913,41.3793103448276,23.5294117647059,50,66.6666666666667,53.3333333333333,100,42.8571428571429,40,54.5454545454545,53.8461538461538,53.8461538461538,26.6666666666667,30.7692307692308,51.8518518518519,56,40,42.4242424242424,40,48.2758620689655,55.5555555555556,47.6190476190476,46.1538461538462,26.6666666666667,63.1578947368421,63.6363636363636,62.5,55.5555555555556,55.5555555555556,54.5454545454545,52.1739130434783,71.4285714285714,62.5,32,35.2941176470588,37.5,28.5714285714286
"EvansCreek_Shocking",52.1739130434783,47.6190476190476,37.037037037037,26.6666666666667,71.4285714285714,62.5,61.5384615384615,42.8571428571429,100,61.5384615384615,60,50,41.6666666666667,61.5384615384615,54.5454545454545,32,43.4782608695652,30.3030303030303,32.258064516129,42.8571428571429,37.037037037037,50,52.6315789473684,54.5454545454545,61.5384615384615,47.0588235294118,50,57.1428571428571,62.5,62.5,50,38.0952380952381,50,57.1428571428571,26.0869565217391,53.3333333333333,42.8571428571429,50
"EvansCreek_NA",50,63.6363636363636,50,25,66.6666666666667,70.5882352941176,71.4285714285714,40,61.5384615384615,100,57.1428571428571,56,56,71.4285714285714,66.6666666666667,46.1538461538462,41.6666666666667,41.1764705882353,43.75,48.2758620689655,50,47.0588235294118,50,83.3333333333333,71.4285714285714,66.6666666666667,57.1428571428571,53.3333333333333,70.5882352941176,58.8235294117647,66.6666666666667,54.5454545454545,61.5384615384615,66.6666666666667,33.3333333333333,62.5,80,61.5384615384615
"FellowsCreek_Shocking",77.4193548387097,75.8620689655172,68.5714285714286,26.0869565217391,63.6363636363636,75,57.1428571428571,54.5454545454545,60,57.1428571428571,100,68.75,68.75,57.1428571428571,42.1052631578947,48.4848484848485,64.5161290322581,58.5365853658537,61.5384615384615,77.7777777777778,62.8571428571429,66.6666666666667,66.6666666666667,52.6315789473684,57.1428571428571,72,64.2857142857143,63.6363636363636,66.6666666666667,66.6666666666667,78.5714285714286,68.9655172413793,60,54.5454545454545,45.1612903225806,52.1739130434783,63.6363636363636,60
