"","Bell4_Seine","Bish2_Seine","Evan2_Seine","Evan5_Seine","Fel4_Seine","Fel6_Seine","FIELDID","Fowl2_Seine","Fowl4_Seine","Fowl5_Seine","Frank1_Seine","John1_Seine","John6_Seine","Low2_Seine","LR.10_Seine","LR.11A_Seine","LR.12_Seine","LR.2_Seine","LR.5_Seine","LR.6_Seine","Main11_Seine","Main13_Seine","Main18_Seine","Main19_Seine","Main3_Seine","Main5_Seine","Main6_Seine","Min2_Seine","MN.2_Seine","MN.5_Seine","MN.7A_Seine","MR.11_Seine","MR.18_Seine","MR.4_Seine","MR.9_Seine","Peb2_Seine","See3_Seine","Tar2_Seine","Ton1_Seine","Ton3_Seine","Up1_Seine","UR.1_Seine","UR.2_Seine","Wall2_Seine","Will1_Seine"
"1",69.5652173913043,57.1428571428571,42.1052631578947,25,66.6666666666667,60.8695652173913,"Up1_Shocking",50,61.5384615384615,53.8461538461538,55.5555555555556,68.9655172413793,35.2941176470588,69.2307692307692,54.5454545454545,24,64,41.6666666666667,60.8695652173913,52.1739130434783,45.4545454545455,48,60.8695652173913,53.8461538461538,52.1739130434783,61.5384615384615,66.6666666666667,76.9230769230769,44.4444444444444,46.1538461538462,57.1428571428571,38.0952380952381,11.1111111111111,21.0526315789474,36.3636363636364,50,66.6666666666667,60.8695652173913,52.1739130434783,69.5652173913043,91.6666666666667,58.3333333333333,50,47.6190476190476,52.6315789473684
"2",42.1052631578947,23.5294117647059,26.6666666666667,0,11.7647058823529,42.1052631578947,"Main11_Shocking",30,36.3636363636364,36.3636363636364,14.2857142857143,32,0,36.3636363636364,22.2222222222222,28.5714285714286,19.047619047619,30,31.578947368421,31.578947368421,66.6666666666667,57.1428571428571,52.6315789473684,54.5454545454545,42.1052631578947,54.5454545454545,30,36.3636363636364,28.5714285714286,54.5454545454545,35.2941176470588,58.8235294117647,28.5714285714286,40,22.2222222222222,12.5,34.7826086956522,52.6315789473684,31.578947368421,21.0526315789474,20,30,25,11.7647058823529,13.3333333333333
"3",88.8888888888889,50,57.1428571428571,54.5454545454545,62.5,66.6666666666667,"Bell4_Shocking",42.1052631578947,57.1428571428571,57.1428571428571,61.5384615384615,58.3333333333333,16.6666666666667,66.6666666666667,58.8235294117647,40,60,42.1052631578947,66.6666666666667,55.5555555555556,70.5882352941176,60,66.6666666666667,76.1904761904762,66.6666666666667,76.1904761904762,73.6842105263158,76.1904761904762,61.5384615384615,57.1428571428571,62.5,50,0,14.2857142857143,70.5882352941176,66.6666666666667,63.6363636363636,88.8888888888889,55.5555555555556,66.6666666666667,52.6315789473684,73.6842105263158,93.3333333333333,62.5,71.4285714285714
"4",70.5882352941176,53.3333333333333,61.5384615384615,60,66.6666666666667,82.3529411764706,"Bish2_Shocking",44.4444444444444,50,60,50,52.1739130434783,18.1818181818182,70,62.5,31.578947368421,52.6315789473684,44.4444444444444,58.8235294117647,70.5882352941176,62.5,52.6315789473684,47.0588235294118,70,70.5882352941176,60,66.6666666666667,60,50,60,66.6666666666667,40,0,30.7692307692308,50,57.1428571428571,66.6666666666667,82.3529411764706,82.3529411764706,58.8235294117647,55.5555555555556,66.6666666666667,71.4285714285714,66.6666666666667,61.5384615384615
"5",66.6666666666667,46.1538461538462,54.5454545454545,75,46.1538461538462,53.3333333333333,"Evan2_Shocking",25,44.4444444444444,44.4444444444444,60,47.6190476190476,22.2222222222222,55.5555555555556,42.8571428571429,23.5294117647059,47.0588235294118,25,53.3333333333333,40,57.1428571428571,35.2941176470588,40,55.5555555555556,40,55.5555555555556,62.5,55.5555555555556,60,33.3333333333333,61.5384615384615,15.3846153846154,0,18.1818181818182,42.8571428571429,66.6666666666667,52.6315789473684,66.6666666666667,53.3333333333333,53.3333333333333,37.5,50,66.6666666666667,61.5384615384615,54.5454545454545
"6",53.3333333333333,30.7692307692308,54.5454545454545,75,46.1538461538462,53.3333333333333,"Evan5_Shocking",12.5,33.3333333333333,33.3333333333333,60,38.0952380952381,22.2222222222222,44.4444444444444,42.8571428571429,23.5294117647059,35.2941176470588,12.5,40,40,42.8571428571429,23.5294117647059,26.6666666666667,44.4444444444444,40,44.4444444444444,50,44.4444444444444,40,33.3333333333333,46.1538461538462,15.3846153846154,0,18.1818181818182,42.8571428571429,66.6666666666667,42.1052631578947,53.3333333333333,53.3333333333333,40,37.5,50,66.6666666666667,61.5384615384615,54.5454545454545
"7",75,42.8571428571429,83.3333333333333,66.6666666666667,71.4285714285714,62.5,"Fel6_Shocking",35.2941176470588,52.6315789473684,52.6315789473684,72.7272727272727,45.4545454545455,20,63.1578947368421,66.6666666666667,33.3333333333333,55.5555555555556,23.5294117647059,62.5,62.5,53.3333333333333,33.3333333333333,37.5,52.6315789473684,50,52.6315789473684,58.8235294117647,52.6315789473684,54.5454545454545,42.1052631578947,57.1428571428571,28.5714285714286,0,16.6666666666667,53.3333333333333,76.9230769230769,50,62.5,50,62.5,58.8235294117647,58.8235294117647,76.9230769230769,71.4285714285714,66.6666666666667
"8",70,66.6666666666667,50,30.7692307692308,66.6666666666667,60,"Fowl4_Shocking",57.1428571428571,78.2608695652174,69.5652173913043,53.3333333333333,53.8461538461538,14.2857142857143,69.5652173913043,63.1578947368421,27.2727272727273,54.5454545454545,47.6190476190476,70,60,42.1052631578947,36.3636363636364,50,52.1739130434783,50,52.1739130434783,57.1428571428571,52.1739130434783,40,43.4782608695652,55.5555555555556,44.4444444444444,0,25,52.6315789473684,47.0588235294118,58.3333333333333,60,60,70,66.6666666666667,57.1428571428571,58.8235294117647,66.6666666666667,50
"9",70.5882352941176,66.6666666666667,46.1538461538462,60,66.6666666666667,47.0588235294118,"Fowl5_Shocking",55.5555555555556,50,60,33.3333333333333,52.1739130434783,18.1818181818182,60,62.5,31.578947368421,73.6842105263158,44.4444444444444,58.8235294117647,58.8235294117647,37.5,31.578947368421,35.2941176470588,50,35.2941176470588,50,55.5555555555556,50,66.6666666666667,30,80,26.6666666666667,0,15.3846153846154,50,42.8571428571429,47.6190476190476,58.8235294117647,47.0588235294118,70.5882352941176,44.4444444444444,44.4444444444444,57.1428571428571,66.6666666666667,46.1538461538462
"10",58.8235294117647,26.6666666666667,61.5384615384615,60,66.6666666666667,70.5882352941176,"Frank1_Shocking",22.2222222222222,40,40,83.3333333333333,52.1739130434783,36.3636363636364,60,50,31.578947368421,42.1052631578947,22.2222222222222,47.0588235294118,47.0588235294118,50,42.1052631578947,47.0588235294118,50,58.8235294117647,60,66.6666666666667,70,33.3333333333333,50,40,26.6666666666667,0,15.3846153846154,50,85.7142857142857,66.6666666666667,58.8235294117647,58.8235294117647,58.8235294117647,66.6666666666667,66.6666666666667,71.4285714285714,53.3333333333333,76.9230769230769
"11",58.3333333333333,54.5454545454545,50,35.2941176470588,63.6363636363636,66.6666666666667,"John1_Shocking",40,51.8518518518519,66.6666666666667,42.1052631578947,80,33.3333333333333,74.0740740740741,52.1739130434783,23.0769230769231,46.1538461538462,40,50,58.3333333333333,43.4782608695652,46.1538461538462,41.6666666666667,51.8518518518519,58.3333333333333,51.8518518518519,56,66.6666666666667,42.1052631578947,51.8518518518519,54.5454545454545,27.2727272727273,10.5263157894737,20,34.7826086956522,57.1428571428571,78.5714285714286,58.3333333333333,66.6666666666667,58.3333333333333,72,56,47.6190476190476,72.7272727272727,50
"12",52.1739130434783,47.6190476190476,42.1052631578947,25,38.0952380952381,52.1739130434783,"John6_Shocking",33.3333333333333,38.4615384615385,38.4615384615385,44.4444444444444,55.1724137931034,47.0588235294118,46.1538461538462,36.3636363636364,32,32,25,43.4782608695652,43.4782608695652,54.5454545454545,40,43.4782608695652,53.8461538461538,43.4782608695652,46.1538461538462,33.3333333333333,53.8461538461538,22.2222222222222,46.1538461538462,38.0952380952381,38.0952380952381,22.2222222222222,31.578947368421,36.3636363636364,30,51.8518518518519,52.1739130434783,52.1739130434783,34.7826086956522,58.3333333333333,50,40,38.0952380952381,21.0526315789474
"13",76.1904761904762,42.1052631578947,58.8235294117647,42.8571428571429,63.1578947368421,57.1428571428571,"LR-10_Shocking",54.5454545454545,58.3333333333333,58.3333333333333,50,51.8518518518519,13.3333333333333,58.3333333333333,80,52.1739130434783,69.5652173913043,54.5454545454545,57.1428571428571,66.6666666666667,60,43.4782608695652,47.6190476190476,58.3333333333333,57.1428571428571,58.3333333333333,54.5454545454545,58.3333333333333,37.5,50,63.1578947368421,52.6315789473684,0,35.2941176470588,60,55.5555555555556,48,66.6666666666667,47.6190476190476,57.1428571428571,54.5454545454545,63.6363636363636,66.6666666666667,52.6315789473684,47.0588235294118
