FIELDID,Similar
Bell4_Shocking,88.88888889
Bish2_Shocking,53.33333333
Evan2_Shocking,54.54545455
Evan5_Shocking,75
Fel4_Shocking,63.15789474
Fel6_Shocking,62.5
Fowl2_Shocking,72
Fowl4_Shocking,78.26086957
Fowl5_Shocking,60
Frank1_Shocking,83.33333333
John1_Shocking,80
John6_Shocking,47.05882353
Low2_Shocking,55.55555556
LR-10_Shocking,80
LR-11A_Shocking,53.84615385
LR-12_Shocking,81.48148148
LR-2_Shocking,61.53846154
LR-5_Shocking,90
LR-6_Shocking,64
Main11_Shocking,66.66666667
Main13_Shocking,90.90909091
Main18_Shocking,84.21052632
Main19_Shocking,78.26086957
Main3_Shocking,70.58823529
Main5_Shocking,72
Main6_Shocking,75.86206897
Min2_Shocking,86.95652174
MN-2_Shocking,50
MN-5_Shocking,54.54545455
MN-7A_Shocking,72.72727273
MR-11_Shocking,72.72727273
MR-18_Shocking,33.33333333
MR-4_Shocking,66.66666667
MR-9_Shocking,42.10526316
Peb2_Shocking,66.66666667
See3_Shocking,80
Tar2_Shocking,88.88888889
Ton1_Shocking,58.82352941
Ton3_Shocking,77.77777778
Up1_Shocking,91.66666667
UR-1_Shocking,57.14285714
UR-2_Shocking,93.33333333
Wall2_Shocking,71.42857143
Will1_Shocking,85.71428571
