CreationDate,Site ,Type of Habitat ,Wetted Width ,Bankfull Width ,Depth  1,Depth 2,Depth3,Depth4,Depth5,Average Depth ,Type of Habitat ,Wetted Width ,Bankfull Width,Depth  1 ,Depth 2 ,Depth3,Depth4,Depth5,Average Depth ,Type of Habitat ,Wetted Width  ,Bankfull Width ,Depth  1,Depth 2,Depth3 ,Depth4 ,Depth5,Average Depth,Dominate Veg,Other - Dominate Veg,Surrounding Landuse ,Other - Surrounding Landuse ,In stream alterations ,Other - In stream alterations ,% canopy cover,Number of log jams ,Woody Debris Present ,"Bouler (10"")","Cobble(2.5""-10"")","Gravel(0.1""-2.5"")",Sand gritty (coarse),Siltgritty (fine),Clayslick,Total Substrate,Epifaunal Substrate/ Available Cover,Embeddedness ,Velocity/Depth Regime ,Sediment Deposition ,Channel Flow Status-Maintained Flow Volume Descriptions,Channel Flow Status-Flashiness ,Channel Alteration ,Frequency of Riffles or bends ,Left Bank Stability ,Right Bank Stability  ,Left Vegetative Protection,Right Vegetative Protection ,Left Riparian Zone,Right Riparian Zone ,Epifaunal Substrate/ Available Cover,Pool Substrate Characterization ,Pool Variability ,Sediment Deposition ,Channel Flow Status-Maintained Flow Volume ,Channel Flow Status-Flashiness  ,Channel Alteration ,Channel Sinuosity ,Left Bank Stability ,Right Bank Stability ,Left Vegetative Protection ,Right Vegetative Protection ,Left Riparian Zone ,Right Riparian Zone  ,Right Bank Height ,Left Bank Height ,Right Bank height,Left Bank Height ,Right Bank Height ,Left Bank Height ,Riparian Veg ,Untitled question 161,x,y
8/1/22,John1 ,Glide,10.8,14.4,0.4,0.5,0.4,0.3,0.2,0.36,Pool_,16.2,22.2,0.3,0.8,0.8,0.9,0.7,0.7,Riffle_,6.6,7.9,0.3,0.2,0.2,0.2,0.2,0.22,other,,Field/_Agricultural_,,"Channelization_,Log_Jams,other",Culvert,40,1,Yes,0,10,15,35,30,10,100,10,8,12,10,6,8,11,11,6,4,8,8,5,2,,10,10,,,,,10,,,,,,,3,4,2.7,3,0.9,1,,,-83.58153826,42.38958385
8/1/22,John10,Glide,16.9,23.7,0.3,0.5,0.6,0.2,0.2,0.36,Pool_,14.1,20.7,0.5,0.9,0.7,0.7,0.2,0.6,Glide,11.7,23.7,0.2,0.6,0.6,0.5,0.2,0.42,,,Forest,,"Log_Jams,Channelization_,Dams",,,,Yes,5,10,5,45,35,0,100,,0,,,,,,,,,,,,,4,7,8,6,5,3,11,5,3,3,4,5,7,7,2,3.2,4,3.5,3.9,16,,,0,0
8/1/22,Ton1,Glide,4.2,8.4,0.4,0.3,0.3,0.2,0.3,0.3,Glide,7.5,8.5,0.3,0.3,0.2,0.3,0.2,0.26,Glide,3.1,4.3,0.1,0.2,0.1,0.1,0.1,0.12,,,"Residential,other,Field/_Agricultural_",Park ,"Channelization_,Human_Debris_",,,,Yes,0,0,50,40,10,0,100,,,,,,,,,,,,,,,12,15,4,10,5,3,7,2,6,6,6,6,2,3,,,,,,,,,-83.49974606,42.36749487
8/1/22,Will1,Glide,7,19,0.3,0.2,0.35,0.25,0.1,0.24,Pool_,6.1,11.6,0.5,0.8,1.2,1.1,0.6,0.84,Pool_,12,18,1,1.4,1.6,1.3,1,1.26,,,Residential,,"Channelization_,other,Log_Jams",,,,Yes,0,0,25,35,20,20,100,,,,,,,,,,,,,,,4,7,11,5,3,2,7,10,3,2,2,1,2,1,3,2.5,3.7,0.5,2.4,1,,,-83.46375325,42.32981705
8/1/22,Ton3,Glide,8.4,31.5,0.3,0.5,0.4,0.2,0.1,0.3,Pool_,15.9,27,0.3,0.6,0.9,1.1,1.2,0.82,Glide,13.7,29.7,0.4,0.6,0.7,1,0.9,0.72,,,Forest,,Log_Jams,,,,Yes,0,0,15,75,5,5,100,,,,,,,,,,,,,,,4,6,10,11,5,2,14,11,2,1,6,6,9,9,,,,,,,,,0,0
8/1/22,Fel6 ,Glide,11.7,15,0.25,0.3,0.46,0.35,0.3,0.332,Glide,5.8,29.7,0.1,0.15,0.2,0.2,0.15,0.16,Glide,8.4,18,0.55,1.1,1.1,0.7,0.4,0.77,,,Forest,,Log_Jams,,,,Yes,2,5,8,60,20,5,100,,,,,,,,,,,,,,,4,7,7,8,4,1,13,12,2,3,6,6,6,6,,,,,,,,,0,0
8/2/22,Main6,Glide,32.7,38.4,0.4,0.4,0.7,1.3,1.6,0.88,Glide,33.6,44.7,2,2.3,2.1,1.2,1,1.72,Glide,33,33.9,0.6,1.1,2,4.7,5.5,2.78,,,"other,choice_6,Residential",Highway ,Channelization_,,,,Yes,30,0,10,30,30,0,100,,,,,,,,,,,,,,,6,9,13,7,4,1,1,3,6,4,4,6,1,3,4.2,4.6,3.7,3.3,4.8,3.8,"Grasses,Trees",,-83.28463438,42.47878923
8/2/22,Main19,Glide,29.7,39.9,0.3,0.3,0.2,1.1,0.3,0.44,Glide,32.4,47.4,0.2,0.7,0.4,0.2,0.7,0.44,Pool_,23.4,43.8,1,2,3.5,5,4.5,3.2,,,Forest,,"Log_Jams,Human_Debris_",,3,,Yes,0,5,20,45,30,0,100,,,,,,,,,,,,,,,11,10,12,8,6,6,13,12,6,7,6,7,9,9,5,5.4,4.5,5.4,5.5,4.4,"Trees,Grasses",,-83.30610375,42.4572831
8/2/22,MN-5,Glide,40.5,43.5,0.4,0.3,0.6,1.5,2,0.96,Glide,25.7,43.8,0.9,1.4,2.3,2.5,2.7,1.96,Glide,31.1,42.9,1.4,2.3,2.7,2.6,1.4,2.08,,,"Forest,Commercial_",,"Log_Jams,Channelization_",,2,,Yes,2.5,2.5,5,15,75,0,100,,,,,,,,,,,,,,,3,7,11,2,7,5,12,6,4,5,4,5,9,4,4.8,5.2,5.5,5,4.8,4,"Trees,Grasses",,-83.28541188,42.44362622
8/2/22,UR-1,Glide,14.2,31.8,0.5,0.7,0.7,0.7,0.4,0.6,Pool_,20.2,27.6,1.4,2.1,4.7,4.8,3.5,3.3,Glide,12.9,16,0.2,1.4,1.8,1.5,1.1,1.2,,,"Forest,Residential",,"Log_Jams,Human_Debris_,Channelization_",,3,,Yes,,,20,45,35,,,,,,,,,,,,,,,,,11,10,13,7,4,2,14,14,1,1,5,4,3,3,4.8,4.6,3,4.7,3.4,3.8,"Trees,Grasses",,-83.30142121,42.4100582
