,FIELDID,Year,Common_Name,Quanity,COMID
1,bell1,1972,nfc,0,10849560
2,bell2,1972,bluegill,4,10849554
3,bell3,1972,central_mudminnow,1,10849560
4,bell4,1972,creek_chub,1,10849564
5,bish2,1972,fathead_minnow,85,10849426
6,cl,1972,green_sunfish,5,10849488
7,dnrnfel,1972,pumpkinseed,18,10849706
8,evan1,1972,fathead_minnow,2,10848534
9,evan2,1972,creek_chub,1,10850126
10,evan3,1972,white_sucker,5,10849456
11,evan4,1972,blacknose_dace,6,10849482
12,evan5,1972,common_shiner,1,10849456
13,fel1,1972,creek_chub,1,10849646
14,fel2,1972,white_sucker,4,10849714
15,fel3,1972,blacknose_dace,9,10849674
16,fel4,1972,central_stoneroller,42,10849736
17,fel5,1972,creek_chub,5,10849704
18,fel6,1972,mottled_sculpin,5,10849704
19,fel7,1972,blacknose_dace,6,10849676
20,flow2,1972,brook_stickleback,1,10848448
21,fowl1,1972,creek_chub,7,10849730
22,fowl2,1972,white_sucker,1,10849786
23,fowl3,1972,blacknose_dace,22,10849806
24,fowl4,1972,central_stoneroller,25,10849812
25,fowl5,1972,creek_chub,17,10849784
26,fowl6,1972,johnny_darter,3,10849730
27,frank1,1972,mottled_sculpin,11,10848522
28,frank2,1972,pumpkinseed,1,10848482
29,frank3,1972,rainbow_darter,3,10848616
30,frank4,1972,redside_dace,1,10848616
31,frank5,1972,central_stoneroller,1,10848458
32,frank6,1972,creek_chub,8,10848468
33,frank7,1972,mottled_sculpin,1,10848468
34,frank8,1972,rainbow_darter,1,10848616
35,gilbl,1972,redside_dace,2,10848462
36,haml,1972,white_sucker,1,10848442
37,ing1,1972,blacknose_dace,4,10849424
38,john1,1972,brook_stickleback,2,10849630
39,john2,1972,central_mudminnow,2,10849614
40,john3,1972,central_stoneroller,7,10849522
41,john5,1972,creek_chub,5,10850134
42,john6,1972,mottled_sculpin,4,10850134
43,john7,1972,white_sucker,5,10849568
44,john8,1972,green_sunfish,2,10849504
45,john9,1972,pumpkinseed,1,10849630
46,johnrhs,1972,green_sunfish,2,10850134
47,johnswd,1972,white_sucker,3,10849598
48,low10,1972,central_stoneroller,5,10850168
49,low11,1972,common_shiner,1,10849778
50,low12,1972,creek_chub,10,10849774
51,low13,1972,mottled_sculpin,5,10849790
52,low2,1972,goldfish,1,10849724
