FIELDID,ID,Branch,StreamName,SiteDescription,SamplingRoads,SamplingLocation,County,Latitude,Longitude
Bell1,1,Upper,Bell Branch,Bicentennial Park,7 Mile/Newburgh Rd,Upstream,Wayne,42.42924,-83.39666
Bell2,2,Upper,Bell Branch,Schoolcraft College,6 Mile/Haggerty,Upstream,Wayne,42.4151185,-83.429007
Bell3,3,Upper,Bell Branch,Livonia 6 Mile,6 Mile/Farmington,Downstream,Wayne,42.41015,-83.39285
Bell4,166,Upper,Bell Branch,Hubbard Drive,Five Mile/Merriman,Upstream,Wayne,42.40327,-83.36237
Bish2,33,Middle,Bishop Creek,Bishop Scarborough,10 Mile/Meadowbrook,Upstream,Oakland,42.47131,-83.45151
CL,182,Middle,Curtis Lake,Silver Spring Drive,7 Mile Rd,No Road,Wayne,42.434131,-83.462669
DNRNFel,168,Lower,Fellows Creek,N Fellows,Canton Center,Upstream,Wayne,42.32336,-83.48854
Evan1,131,Main,Evans Creek,Evans Green Spruce,12 Mile/Evergreen,Upstream,Oakland,42.504517,-83.233603
Evan2,136,Main,Evans Creek,LTU,10 Mile/Northwestern,Upstream,Oakland,42.474374,-83.246909
Evan3,186,Main,Evans Creek,Latter Day Saints,9 Mile & Berg,Upstream,Oakland,42.459278,-83.268639
Evan4,195,Main,Evans Creek,Berg Road,"23000 Eight Mile Road, Southfield 48033",Upstream,Oakland,42.443871,-83.269766
Evan5,199,Main,Evans Creek,Lahser at credit union,"24333 Lahser Rd, Southfield, MI 48033",Up and Downstream,Oakland,42.46792,-83.26124
Fel1,74,Lower,Fellows Creek,Top of Hill Ct,Napier/Powell,Downstream,Wayne,42.35729,-83.53988
Fel2,75,Lower,Fellows Creek,Vintage Valley,Ford/Ridge,Downstream,Wayne,42.31932,-83.5246
Fel3,121,Lower,Fellows Creek,Ann Arbor Rd,at Joy Road,Downstream,Wayne,42.349854,-83.540557
Fel4,76,Lower,Fellows Creek,Flodin Pk,Saltz Rd/Sheldon,Downstream,Wayne,42.31346,-83.46471
Fel5,122,Lower,Fellows Creek,Warren Ridge,between Napier and Ridge,Upstream,Wayne,42.335263,-83.539831
Fel6,123,Lower,Fellows Creek,Hanford,west of Ridge,Upstream,Wayne,42.328188,-83.532192
Fel7,173,Lower,Fellows Creek,Napier Court,Napier/Ann Arbor Rd,Upstream,Washtenaw,42.3462,-83.54797
FLOW2,155,Main,Forest Lakes,Brookside Drive,W Long Lake,Upstream,Oakland,42.58359,-83.27364
Fowl1,77,Lower,Fowler Creek,Prospect,Prospect/Cherry Hill,Downstream,Wayne,42.30423,-83.60516
Fowl2,78,Lower,Fowler Creek,Fowler Beck,"Beck, N of Geddes",Downstream,Wayne,42.28226,-83.50515
Fowl3,119,Lower,Fowler Creek,Harris,S of Cherry Hill,Up and Downstream,Washtenaw,42.297437,-83.584549
Fowl4,142,Lower,Fowler Creek,Ridge Rd S of Geddes,Ridge/Geddes,Downstream,Washtenaw,42.2755623,-83.553772
Fowl5,152,Lower,Fowler Creek,Fowler Denton,Denton N of Geddes,Downstream,Wayne,42.2802935,-83.5254264
Fowl6,185,Lower,Fowler Creek,Ellsworth,7842 Cherry Hill,Upstream,Washtenaw,42.303202,-83.608035
Frank1,16,Main,Franklin Creek,Franklin Cider Mill,14 Mile/Franklin Rd,Upstream,Oakland,42.53024,-83.30585
Frank2,17,Main,Franklin Creek,Ink Pump Sta,Inkster & Farmington,Upstream,Oakland,42.529325,-83.325381
Frank3,157,Main,Franklin Creek,Stream above Morris Lk,Morris Lake Drive,Downstream,Oakland,42.56567,-83.38011
Frank4,158,Main,Franklin Creek,Morris Lake,Mirror Lake Drive,Downstream,Oakland,42.56574,-83.37964
Frank5,159,Main,Franklin Creek,above Morris Lk,Mirror Lake Drive,Upstream,Oakland,42.5654,-83.38219
Frank6,160,Main,Franklin Creek,outlet from Morris Lk,Lockhart St,Downstream,Oakland,42.5653611,-83.3735027
Frank7,170,Main,Franklin Creek,Doherty Elementary School,"3575 Walnut Lake Rd, West Bloomfiled",Downstream,Oakland,42.55605,-83.3548
Frank8,171,Main,Morris Lake,end of Lockhart,4985 Lockhart St,Upstream,Oakland,42.564393,-83.3754668
GilbL,198,Main,Quarton Branch,Gilbert Lake,"1045 Timberlake Drive, Bloomfield Township, 48302",Downstream,Oakland,42.560939,-83.278472
HamL,190,Main,Forest Lakes,Hammond Lake,2300 E Hammond Lake Road,Upstream,Oakland,42.6066819,-83.3223617
Ing1,34,Middle,Ingersoll Creek,Brookfarm Park,Willowbrook/10 Mile,Downstream,Oakland,42.46293,-83.44552
John1,35,Middle,Johnson Creek,5M Salem,5 Mile/Salem Rd,Downstream,Washtenaw,42.3897,-83.58194
John2,36,Middle,Johnson Creek,5M NV,5 Mile/Ridge,Upstream,Wayne,42.39424,-83.534404
John3,37,Middle,Johnson Creek,6M NV,6 Mile/Beck,Upstream,Wayne,42.40844,-83.51693
John5,38,Middle,Johnson Creek,Fish Hatchery Pk,7 Mile/Sheldon,Downstream,Wayne,42.4224,-83.49289
John6,39,,Johnson Creek,Hines,Hines/Sheldon,Downstream,Wayne,42.42546,-83.48138
John7,40,Middle,Johnson Creek,Arcadia,"S of 6 Mile, W of Beck",Downstream,Wayne,42.399455,-83.526902
John8,90,Middle,Johnson Creek,Maybury Angell,7 Mile & Napier,Downstream,Wayne,42.42148,-83.54396
John9,105,Middle,Johnson Creek,Western Wayne CA,5 Mile & Napier,Downstream,Wayne,42.38066,-83.545192
JohnRHS,106,Middle,Johnson Creek,Rural Hills St,Hines,Upstream,Wayne,42.42611,-83.486667
JohnSWD,107,Middle,Johnson Creek,Salem Woods Dr,Currie,Downstream,Washtenaw,42.392444,-83.595278
Low10,139,Lower,Lower Rouge,Canton Center,n of S Canton Scholars,Downstream,Wayne,42.286955,-83.484475
Low11,151,Lower,Lower Rouge,Denton Rd,N of Proctor,Upstream,Wayne,42.2972147,-83.5254371
Low12,169,Lower,Lower Rouge,East of Low4,Sheldon along trail,Downstream,Wayne,42.2838277,-83.474042
Low13,200,Lower,Lower Rouge,Venoy - Dorsey Park,Venoy/Michigan,Upstream,Wayne,42.2876032,-83.3592921
Low2,79,Lower,Lower Rouge,Cherry Hill,Cherry Hill/Ridge,Upstream,Wayne,42.30724,-83.53793
Low3,118,Lower,Lower Rouge,Gotfredson,N of Ford,Upstream,Washtenaw,42.323651,-83.565967
Low4,124,Lower,Lower Rouge,Sheldon Rd,N of Michigan,Downstream,Wayne,42.286433,-83.47563
Low5,125,Lower,Lower Rouge,Lotz Rd,N of Michigan,Downstream,Wayne,42.282389,-83.437141
Low6,126,Lower,Lower Rouge,Newburgh Rd,N of Michigan,Upstream,Wayne,42.282611,-83.407008
Low7,127,Lower,Lower Rouge,RR Tracks,Wayne Bowl,Downstream,Wayne,42.283278,-83.397352
Low8,128,Lower,Lower Rouge,Elizabeth St,N of Michigan,Downstream,Wayne,42.285374,-83.388726
Low9,132,Lower,Lower Rouge,Lower Beck Rd,Beck Road,Downstream,Wayne,42.283461,-83.505311
LR-1,80,Lower,Lower Rouge,Commerce Ct,"Michigan Ave, WCDOE Office",Upstream,Wayne,42.280425,-83.42027
LR-10,89,Lower,Lower Rouge,Inkster,John Daly north of Michigan,Downstream,Wayne,42.298506,-83.305839
LR-11,96,Lower,Lower Rouge,Ford Field west,Brady & Cherry Hill,Upstream,Wayne,42.31108,-83.245905
LR-11A,134,Lower,Lower Rouge,Ford Field east,east of Ford Field,Downstream,Wayne,42.3125679,-83.2415233
LR-12,104,Lower,Lower Rouge,Morton Taylor,"E of Morton Taylor, n of Mich Ave",Downstream,Wayne,42.282317,-83.466103
LR-2,81,Lower,Lower Rouge,WTUA,"Geddes/Beck, d/s of outfall",Downstream,Wayne,42.281766,-83.502997
LR-3,82,Lower,Lower Rouge,Goudy Park,Wayne & Michigan Ave,Downstream,Wayne,42.284848,-83.381855
LR-4,83,Lower,Lower Rouge,Merriman Rd,Merriman/Mich Ave,Downstream,Wayne,42.288775,-83.3486
LR-5,84,Lower,Fellows Creek,Fellows Lotz,Finley Drive,Downstream,Wayne,42.300561,-83.4374797
LR-6,85,Lower,Lower Rouge,Wayne WDM,Wayne Rd W,Upstream,Wayne,42.285,-83.383888
LR-7,86,Lower,McClaugherty Creek,McClaugherty Creek,Ecorse & Hannan,Downstream,Wayne,42.2484,-83.4248
LR-8,87,Lower,Lower Rouge,Ridge Proctor,Ridge & Proctor,Downstream,Wayne,42.295976,-83.541846
LR-9,88,Lower,Fellows Creek,Fellows Beck Warren,Warren & Beck,Upstream,Wayne,42.33667,-83.509238
Main1,18,Main,Main Rouge,FF Pk,Coolidge/I-75,Upstream,Oakland,42.60991,-83.17984
Main10,116,Main,Main Rouge,HF Estate Dam,Evergreen N of Mich,Upstream,Wayne,42.312949,-83.232347
Main11,135,Main,Quarton Branch,Quarton at Lakeside,Lakeside/Midland Dr,Upstream,Oakland,42.554445,-83.226312
Main12,149,Main,Main Rouge,Greenfield Village,Oxbow south,Upstream,Wayne,42.304944,-83.219585
Main12N,184,Main,Main Rouge,Oxbow North,Greenfield Village,Downstream,Wayne,42.30589,-83.221978
Main13,153,Main,Main Rouge,W Long Lake Rd,W Long Lake/Coolidge,Downstream,Oakland,42.59005,-83.18976
Main14,167,Main,Main Rouge,Middle confluence,Hines/Ford Rd,Downstream,Wayne,42.33082,-83.24434
Main15,174,Main,Main Rouge,Kensington Rd,"5191 Irongate, Bloomfield Hills",Upstream,Oakland,42.564061,-83.212396
Main16,175,Main,Quarton Branch,Cranbrook Rowing Team,651 Orchard Ridge,Downstream,Oakland,42.5698649,-83.2571411
Main17,176,Main,Main Rouge,Berberian Woods,28415 Streamwood,Downstream,Oakland,42.4957582,-83.2765335
Main18,180,Main,Main Rouge,Beach Rd,park on Tarragona,Up and Downstream,Oakland,42.581007,-83.197579
Main19,187,Main,Main Rouge,Nine Mile,W of Beech,Downstream,Oakland,42.456957,-83.305917
Main2,19,Main,Main Rouge,CAHN,Sq Lk/Coolidge,Downstream,Oakland,42.60398,-83.17963
Main20,194,Main,Main Rouge,Under Ford Road,Ford and Hines,Downstream,Wayne,42.33006,-83.2415
Main3,20,Main,Main Rouge,Booth Pk,Old Woodward/Euclid,Downstream,Oakland,42.54891,-83.21774
Main4,21,Main,Main Rouge,Linden Pk,15 Mile/Southfield,Downstream,Oakland,42.54242,-83.22478
Main4.5,22,Main,Main Rouge,Fairway Pk,Lincoln/Southfield,Downstream,Oakland,42.53718,-83.22861
Main5,23,Main,Main Rouge,Douglas Evans,Evergreen/13 Mile,Upstream,Oakland,42.52219,-83.24692
Main6,24,Main,Main Rouge,Sfld Civic Ctr,Civic Center Dr/Telegraph,Up and Downstream,Oakland,42.47886,-83.2845
Main7,92,Main,Main Rouge,Sfld 10 M,10 Mile,Upstream,Oakland,42.472849,-83.289147
Main7.5,114,Main,Main Rouge,24836 Glenside,10 Mike & Beech,Downstream,Wayne,42.469074,-83.290339
Main8,93,Main,Main Rouge,Fordson Island,Fort Street,Upstream,Wayne,42.29352,-83.14873
Main9,113,Main,Main Rouge,Rotunda,Southfield,Upstream,Wayne,42.30388,-83.203929
Mid1,41,Middle,Middle Rouge,Northville Rec E,Northville Rd/7 Mile,Downstream,Oakland,42.42177,-83.47546
Mid2,101,Middle,Middle Rouge,Woods Dr Riffle,Hines,Upstream,Wayne,42.37183,-83.45509
Mid3,102,Middle,Middle Rouge,Newb Dam outflow,Ann Arbor Rd,Upstream,Wayne,42.36656,-83.41015
Mid4,143,Middle,Middle Branch,Newburgh Lake,Hines,Downstream,Wayne,42.366466,-83.423351
Mid5,148,Middle,Middle Rouge,Helms Haven,Hines/Outer Dr,Upstream,Wayne,42.339356,-83.264421
Min1,4,Upper,Minnow Pond,Minnow 13 M,13 Mile/Farmington,Downstream,Oakland,42.51274,-83.38905
Min2,5,Upper,Minnow Pond,OCC,Farmington Rd,Downstream,Oakland,42.493065,-83.37734
Min3,6,Upper,Minnow Pond,Dunckel,12 Mile/Kendallwood Dr,Upstream,Oakland,42.500565,-83.37127
Min3A,161,Upper,Minnow Pond,Dunckel side,12 Mile Rd,Upstream,Oakland,42.500031,-83.373163
