,FIELDID,DNRName,COMID
1,bell1,NA,10849560
2,bell2,NA,10849554
3,bell3,NA,10849560
4,bell4,NA,10849564
5,bish2,NA,10849426
6,cl,NA,10849488
7,dnrnfel,l-5,10849706
8,evan1,NA,10848534
9,evan2,NA,10850126
10,evan3,NA,10849456
11,evan4,NA,10849482
12,evan5,evan10,10849456
13,fel1,NA,10849646
14,fel2,NA,10849714
15,fel3,NA,10849674
16,fel4,dnr15,10849736
17,fel5,NA,10849704
19,fel7,NA,10849676
20,flow2,NA,10848448
21,fowl1,NA,10849730
22,fowl2,lower6,10849786
23,fowl3,NA,10849806
24,fowl4,lower7,10849812
25,fowl5,l-6,10849784
26,fowl6,NA,10849730
27,frank1,mn-8dnr,10848522
28,frank2,franklin13,10848482
29,frank3,NA,10848616
30,frank4,NA,10848616
31,frank5,NA,10848458
32,frank6,NA,10848468
33,frank7,NA,10848468
34,frank8,NA,10848616
35,gilbl,NA,10848462
36,haml,NA,10848442
37,ing1,NA,10849424
38,john1,NA,10849630
39,john2,NA,10849614
40,john3,johnson15,10849522
41,john5,NA,10850134
42,john6,johnson13,10850134
43,john7,johnson16,10849568
44,john8,NA,10849504
45,john9,NA,10849630
46,johnrhs,NA,10850134
47,johnswd,NA,10849598
48,low10,NA,10850168
49,low11,dnr13,10849778
50,low12,NA,10849774
51,low13,NA,10849790
52,low2,NA,10849724
53,low3,NA,10849726
54,low4,l-1,10849774
55,low5,NA,10849802
56,low6,l-2,10849810
57,low7,NA,10849790
58,low8,NA,10849790
59,low9,NA,10849778
60,lr-1,NA,10849810
61,lr-10,NA,10849762
62,lr-11,l-4,10850162
63,lr-11a,NA,10850162
64,lr-12,NA,10849800
65,lr-2,NA,10850168
66,lr-3,NA,10849790
67,lr-4,lower2,10849790
68,lr-5,NA,10849756
69,lr-6,NA,10849790
70,lr-7,NA,10850182
71,lr-8,NA,10849778
72,lr-9,NA,10850150
73,main1,NA,10848426
74,main10,fd-1,10849770
75,main11,NA,10848598
76,main12,NA,10849770
77,main12n,NA,10849770
78,main13,NA,10848472
79,main14,NA,10850152
80,main15,NA,10848472
81,main16,NA,10848450
82,main17,NA,10849364
83,main18,main8dnr,10848472
84,main19,NA,10849462
85,main2,NA,10848472
86,main20,NA,10849728
87,main3,main6dnr,10848472
88,main4,NA,10848486
89,main4.5,NA,10848486
90,main5,NA,10848602
91,main6,main3dnr,10849438
92,main7,NA,10849438
93,main7.5,NA,10849438
94,main8,NA,10849768
95,main9,NA,10849770
96,mid1,middle6,10850296
97,mid2,middle3,10849642
98,mid3,dnr6,10849648
99,mid4,NA,10850234
100,mid5,NA,10850156
101,min1,NA,10848506
102,min2,u-6,10849378
103,min3,NA,10848520
104,min3a,NA,10849378
105,min4,NA,10848484
106,min5,NA,10848506
107,mn-1,NA,10849618
108,mn-2,main2dnr,10849618
109,mn-3,NA,10850238
110,mn-4,main1dnr,10850152
112,mn-6,NA,10849618
113,mn-7,NA,10850152
114,mn-7a,mn-4dnr,10850152
115,mr-1,md-3,10850296
116,mr-10,NA,10850156
117,mr-11,NA,10850156
118,mr-12,NA,10850156
119,mr-13,NA,10850156
120,mr-14,NA,10850142
121,mr-15,NA,10850156
122,mr-16,NA,10849658
123,mr-17,dnr5,10849642
124,mr-18,middle5,10849622
125,mr-19,NA,10850142
126,mr-2,NA,10849566
127,mr-20,NA,10849566
128,mr-21,NA,10849668
129,mr-22,NA,10849504
130,mr-23,NA,10849490
131,mr-24,NA,10850142
132,mr-25,NA,10849514
133,mr-26,NA,10849504
134,mr-27,NA,10849524
135,mr-28,NA,10850142
136,mr-2a,NA,10849566
137,mr-3,NA,10849642
138,mr-4,NA,10849648
139,mr-5,NA,10850156
140,mr-6,NA,10850156
141,mr-7,md-8,10850156
142,mr-8,md-7,10850156
143,mr-9,NA,10850156
144,mur2,NA,10848594
145,nfowl,lower8,10849780
146,nott,NA,10848512
147,nott2,NA,10848512
148,nton,NA,10850142
149,peb1,NA,10848526
150,peb2,NA,10848526
151,peb3,mn-9dnr,10848526
152,peb4,main4dnr,10849412
153,peb5,NA,10848490
154,rav,NA,10849442
155,see1,mqed2,10848516
156,see2,NA,10849376
157,see3,NA,10848516
158,see4,NA,10848492
159,seebosch,NA,10849374
160,seesto,NA,10848492
161,simpl,NA,10848614
162,sprag,NA,10848422
163,tar2,NA,10849472
164,ton1,NA,10850142
165,ton1/2,NA,10850142
166,ton2,NA,10850142
167,ton3,tonquishcreek18,10849700
168,ull,NA,10848442
169,up1,NA,10849602
170,up2,u-1,10849602
171,up3,NA,10849602
172,up4,NA,10849602
173,up5,NA,10849602
174,up6,upper2,10849602
175,ur-1,NA,10849602
176,ur-2,NA,10849608
177,ur-3,NA,10849508
178,ur-4,dnr11,10849602
179,ur-5,NA,10849548
