"","FIELDID","year_between"
"1","bell4",5.95616438356164
"2","bish2",5.18904109589041
"3","evan2",5.9013698630137
"4","evan5",1.21917808219178
"5","fel4",7.95068493150685
"6","fel6",7.95068493150685
"7","fowl2",1.01095890410959
"8","fowl4",1.01095890410959
"9","fowl5",1.14520547945205
"10","frank1",6.95342465753425
"11","john1",10.2739726027397
"12","john6",1.27671232876712
"13","lr-10",0.989041095890411
"14","lr-11a",0.989041095890411
"15","lr-12",0.991780821917808
"16","lr-2",1.00821917808219
"17","lr-5",6.01643835616438
"18","lr-6",8.08493150684932
"19","low2",8.02465753424658
"20","mn-2",2.08219178082192
"21","mn-5",4.96164383561644
"22","mn-7a",1.02739726027397
"23","mr-11",6.2054794520548
"24","mr-15",6.18630136986301
"25","mr-18",1.27397260273973
"26","mr-4",1.27397260273973
"27","mr-9",6.2054794520548
"28","main10",7.93150684931507
"29","main11",5.92328767123288
"30","main12",2.06301369863014
"31","main12n",2.06301369863014
"32","main13",4.24931506849315
"33","main18",4.24931506849315
"34","main19",4.19178082191781
"35","main3",5.92328767123288
"36","main5",3.92328767123288
"37","main6",6.95342465753425
"38","min2",10.2931506849315
"39","peb2",5.34794520547945
"40","see3",2.08767123287671
"41","tar2",5.93972602739726
"42","ton1",7.01095890410959
"43","ton3",7.01095890410959
"44","ur-1",3.2986301369863
"45","ur-2",1.22191780821918
"46","up1",1.22191780821918
"47","wall2",6.97260273972603
"48","will1",6.87671232876712
